Ensayo, Estimulo, Comparacion, Respuesta, Eleccion, Correcto, OpcionPredicha, Aciertos, Errores, RTime1, RTime2, SignallPosition, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
0,45,3 BS-BN,right,BN,0,0,0,1,2.11871910095,0.1183989048,Left,0,0,0,0,1,1,1,1
1,15,1 AS-AN,left,AS,1,1,1,1,2.13528990746,0.134103059769,Left,1,1,1,1,0,1,0,1
2,144,5 AS-BS,right,AS,NA,1,1,1,2.11905407906,0.118766069412,Both,NA,1,NA,1,NA,1,NA,1
3,56,3 BS-BN,left,BN,0,0,1,2,2.13574099541,0.135540008545,Right,0,1,0,1,1,2,1,2
4,59,3 BS-BN,right,BN,0,0,1,3,2.1187081337,0.118327140808,Left,0,1,0,1,1,3,1,3
5,169,6 AN-BN,left,AN,NA,0,1,3,2.13587713242,0.135620117188,None,NA,1,NA,1,NA,3,NA,3
6,98,4 BS-AN,right,BS,1,1,2,3,2.11907291412,0.118743896484,Right,1,2,1,2,0,3,0,3
7,49,3 BS-BN,left,BS,1,1,3,3,2.13556313515,0.135369062424,Left,1,3,1,3,0,3,0,3
8,21,1 AS-AN,right,AN,0,0,3,4,2.11868405342,0.118498086929,Left,0,3,0,3,1,4,1,4
9,88,2 AS-BN,left,BN,0,0,3,5,2.13565301895,0.135414123535,Right,0,3,0,3,1,5,1,5
10,14,1 AS-AN,right,AS,1,1,4,5,2.11912894249,0.11895108223,Right,1,4,1,4,0,5,0,5
11,161,6 AN-BN,left,AN,NA,0,4,5,2.13568902016,0.13551402092,None,NA,4,NA,4,NA,5,NA,5
