Treatment,Session,Period,Subject,Profit,TotalProfit,Guess,Average,TargetValue,Diff,IsWinner,NumWinners
1,1,3,5,0,15,23,18.05882353,12.03921569,10.96078431,0,1
1,1,3,6,0,15,14,18.05882353,12.03921569,1.960784314,0,1
1,1,3,7,0,15,15,18.05882353,12.03921569,2.960784314,0,1
1,1,3,8,20,35,12,18.05882353,12.03921569,0.039215686,1,1
1,1,3,9,0,15,15,18.05882353,12.03921569,2.960784314,0,1
1,1,3,10,0,35,16,18.05882353,12.03921569,3.960784314,0,1
1,1,3,11,0,35,35,18.05882353,12.03921569,22.96078431,0,1
1,1,3,12,0,15,20,18.05882353,12.03921569,7.960784314,0,1
1,1,3,13,0,15,21,18.05882353,12.03921569,8.960784314,0,1
1,1,3,14,0,15,13,18.05882353,12.03921569,0.960784314,0,1
1,1,3,15,0,15,14,18.05882353,12.03921569,1.960784314,0,1
1,1,3,16,0,15,25,18.05882353,12.03921569,12.96078431,0,1
1,1,3,17,0,15,14,18.05882353,12.03921569,1.960784314,0,1
1,1,4,1,0,15,6,10.70588235,7.137254902,1.137254902,0,2
1,1,4,2,0,15,18,10.70588235,7.137254902,10.8627451,0,2
1,1,4,3,10,25,7,10.70588235,7.137254902,0.137254902,1,2
1,1,4,4,0,15,5,10.70588235,7.137254902,2.137254902,0,2
1,1,4,5,0,15,20,10.70588235,7.137254902,12.8627451,0,2
1,1,4,6,0,15,9,10.70588235,7.137254902,1.862745098,0,2
1,1,4,7,0,15,4,10.70588235,7.137254902,3.137254902,0,2
1,1,4,8,0,35,9,10.70588235,7.137254902,1.862745098,0,2
1,1,4,9,0,15,15,10.70588235,7.137254902,7.862745098,0,2
1,1,4,10,0,35,6,10.70588235,7.137254902,1.137254902,0,2
1,1,4,11,0,35,29,10.70588235,7.137254902,21.8627451,0,2
1,1,4,12,0,15,5,10.70588235,7.137254902,2.137254902,0,2
1,1,4,13,0,15,9,10.70588235,7.137254902,1.862745098,0,2
1,1,4,14,0,15,8,10.70588235,7.137254902,0.862745098,0,2
1,1,4,15,0,15,8,10.70588235,7.137254902,0.862745098,0,2
1,1,4,16,0,15,17,10.70588235,7.137254902,9.862745098,0,2
1,1,4,17,10,25,7,10.70588235,7.137254902,0.137254902,1,2
1,1,5,1,0,15,2,5.941176471,3.960784314,1.960784314,0,4
1,1,5,2,0,15,9,5.941176471,3.960784314,5.039215686,0,4
1,1,5,3,0,25,2,5.941176471,3.960784314,1.960784314,0,4
1,1,5,4,0,15,5,5.941176471,3.960784314,1.039215686,0,4
1,1,5,5,0,15,15,5.941176471,3.960784314,11.03921569,0,4
1,1,5,6,0,15,6,5.941176471,3.960784314,2.039215686,0,4
1,1,5,7,5,20,4,5.941176471,3.960784314,0.039215686,1,4
1,1,5,8,5,40,4,5.941176471,3.960784314,0.039215686,1,4
1,1,5,9,0,15,5,5.941176471,3.960784314,1.039215686,0,4
1,1,5,10,5,40,4,5.941176471,3.960784314,0.039215686,1,4
1,1,5,11,0,35,10,5.941176471,3.960784314,6.039215686,0,4
1,1,5,12,5,20,4,5.941176471,3.960784314,0.039215686,1,4
1,1,5,13,0,15,5,5.941176471,3.960784314,1.039215686,0,4
1,1,5,14,0,15,3,5.941176471,3.960784314,0.960784314,0,4
1,1,5,15,0,15,3,5.941176471,3.960784314,0.960784314,0,4
1,1,5,16,0,15,14,5.941176471,3.960784314,10.03921569,0,4
1,1,5,17,0,25,6,5.941176471,3.960784314,2.039215686,0,4
1,2,1,1,0,15,55,51.94117647,34.62745098,20.37254902,0,1
1,2,1,2,0,15,33,51.94117647,34.62745098,1.62745098,0,1
1,2,1,3,0,15,26,51.94117647,34.62745098,8.62745098,0,1
1,2,1,4,0,15,93,51.94117647,34.62745098,58.37254902,0,1
1,2,1,5,0,15,33,51.94117647,34.62745098,1.62745098,0,1
1,2,1,6,0,15,47,51.94117647,34.62745098,12.37254902,0,1
1,2,1,7,0,15,77,51.94117647,34.62745098,42.37254902,0,1
1,2,1,8,0,15,33,51.94117647,34.62745098,1.62745098,0,1
1,2,1,9,20,35,35,51.94117647,34.62745098,0.37254902,1,1
1,2,1,10,0,15,22,51.94117647,34.62745098,12.62745098,0,1
1,2,1,11,0,15,97,51.94117647,34.62745098,62.37254902,0,1
1,2,1,12,0,15,30,51.94117647,34.62745098,4.62745098,0,1
1,2,1,13,0,15,30,51.94117647,34.62745098,4.62745098,0,1
1,2,1,14,0,15,60,51.94117647,34.62745098,25.37254902,0,1
1,2,1,15,0,15,77,51.94117647,34.62745098,42.37254902,0,1
1,2,1,16,0,15,65,51.94117647,34.62745098,30.37254902,0,1
1,2,1,17,0,15,70,51.94117647,34.62745098,35.37254902,0,1
1,2,2,1,0,15,23,31.11764706,20.74509804,2.254901961,0,2
1,2,2,2,0,15,45,31.11764706,20.74509804,24.25490196,0,2
1,2,2,3,0,15,30,31.11764706,20.74509804,9.254901961,0,2
1,2,2,4,0,15,41,31.11764706,20.74509804,20.25490196,0,2
1,2,2,5,0,15,10,31.11764706,20.74509804,10.74509804,0,2
1,2,2,6,0,15,28,31.11764706,20.74509804,7.254901961,0,2
1,2,2,7,0,15,19,31.11764706,20.74509804,1.745098039,0,2
1,2,2,8,0,15,26,31.11764706,20.74509804,5.254901961,0,2
1,2,2,9,0,35,22,31.11764706,20.74509804,1.254901961,0,2
1,2,2,10,10,25,20,31.11764706,20.74509804,0.745098039,1,2
1,2,2,11,0,15,61,31.11764706,20.74509804,40.25490196,0,2
1,2,2,12,0,15,55,31.11764706,20.74509804,34.25490196,0,2
1,2,2,13,0,15,25,31.11764706,20.74509804,4.254901961,0,2
1,2,2,14,0,15,40,31.11764706,20.74509804,19.25490196,0,2
1,2,2,15,0,15,26,31.11764706,20.74509804,5.254901961,0,2
1,2,2,16,10,25,20,31.11764706,20.74509804,0.745098039,1,2
1,2,2,17,0,15,38,31.11764706,20.74509804,17.25490196,0,2
1,2,3,1,0,15,14,17.35294118,11.56862745,2.431372549,0,2
1,2,3,2,0,15,23,17.35294118,11.56862745,11.43137255,0,2
1,2,3,3,0,15,20,17.35294118,11.56862745,8.431372549,0,2
1,2,3,4,0,15,18,17.35294118,11.56862745,6.431372549,0,2
1,2,3,5,0,15,15,17.35294118,11.56862745,3.431372549,0,2
1,2,3,6,0,15,17,17.35294118,11.56862745,5.431372549,0,2
1,2,3,7,0,15,17,17.35294118,11.56862745,5.431372549,0,2
1,2,3,8,0,15,13,17.35294118,11.56862745,1.431372549,0,2
1,2,3,9,0,35,13,17.35294118,11.56862745,1.431372549,0,2
1,2,3,10,0,25,14,17.35294118,11.56862745,2.431372549,0,2
1,2,3,11,0,15,36,17.35294118,11.56862745,24.43137255,0,2
1,2,3,12,0,15,13,17.35294118,11.56862745,1.431372549,0,2
1,2,3,13,10,25,12,17.35294118,11.56862745,0.431372549,1,2
1,2,3,14,0,15,10,17.35294118,11.56862745,1.568627451,0,2
1,2,3,15,10,25,12,17.35294118,11.56862745,0.431372549,1,2
1,2,3,16,0,25,10,17.35294118,11.56862745,1.568627451,0,2
1,2,3,17,0,15,38,17.35294118,11.56862745,26.43137255,0,2
1,2,4,1,0,15,14,8.411764706,5.607843137,8.392156863,0,1
1,2,4,2,0,15,7,8.411764706,5.607843137,1.392156863,0,1
1,2,4,3,0,15,9,8.411764706,5.607843137,3.392156863,0,1
1,2,4,4,0,15,8,8.411764706,5.607843137,2.392156863,0,1
1,2,4,5,0,15,5,8.411764706,5.607843137,0.607843137,0,1
1,2,4,6,0,15,8,8.411764706,5.607843137,2.392156863,0,1
1,2,4,7,20,35,6,8.411764706,5.607843137,0.392156863,1,1
1,2,4,8,0,15,7,8.411764706,5.607843137,1.392156863,0,1
1,2,4,9,0,35,7,8.411764706,5.607843137,1.392156863,0,1
1,2,4,10,0,25,3,8.411764706,5.607843137,2.607843137,0,1
1,2,4,11,0,15,15,8.411764706,5.607843137,9.392156863,0,1
1,2,4,12,0,15,7,8.411764706,5.607843137,1.392156863,0,1
1,2,4,13,0,25,7,8.411764706,5.607843137,1.392156863,0,1
1,2,4,14,0,15,12,8.411764706,5.607843137,6.392156863,0,1
1,2,4,15,0,25,9,8.411764706,5.607843137,3.392156863,0,1
1,2,4,16,0,25,7,8.411764706,5.607843137,1.392156863,0,1
1,2,4,17,0,15,12,8.411764706,5.607843137,6.392156863,0,1
1,2,5,1,0,15,5,9.235294118,6.156862745,1.156862745,0,2
1,2,5,2,0,15,3,9.235294118,6.156862745,3.156862745,0,2
1,2,5,3,0,15,2,9.235294118,6.156862745,4.156862745,0,2
1,2,5,4,0,15,2,9.235294118,6.156862745,4.156862745,0,2
1,2,5,5,0,15,2,9.235294118,6.156862745,4.156862745,0,2
1,2,5,6,0,15,2,9.235294118,6.156862745,4.156862745,0,2
1,2,5,7,0,35,3,9.235294118,6.156862745,3.156862745,0,2
1,2,5,8,0,15,2,9.235294118,6.156862745,4.156862745,0,2
1,2,5,9,0,35,3,9.235294118,6.156862745,3.156862745,0,2
1,2,5,10,0,25,2,9.235294118,6.156862745,4.156862745,0,2
1,2,5,11,0,15,8,9.235294118,6.156862745,1.843137255,0,2
1,2,5,12,10,25,6,9.235294118,6.156862745,0.156862745,1,2
1,2,5,13,0,25,2,9.235294118,6.156862745,4.156862745,0,2
1,2,5,14,0,15,7,9.235294118,6.156862745,0.843137255,0,2
1,2,5,15,0,25,99,9.235294118,6.156862745,92.84313725,0,2
1,2,5,16,10,35,6,9.235294118,6.156862745,0.156862745,1,2
1,2,5,17,0,15,3,9.235294118,6.156862745,3.156862745,0,2
1,3,1,1,0,15,55,44.05,29.36666667,25.63333333,0,1
1,3,1,2,0,15,80,44.05,29.36666667,50.63333333,0,1
1,3,1,3,0,15,27,44.05,29.36666667,2.366666667,0,1
1,3,1,4,0,15,25,44.05,29.36666667,4.366666667,0,1
1,3,1,5,0,15,55,44.05,29.36666667,25.63333333,0,1
1,3,1,6,0,15,40,44.05,29.36666667,10.63333333,0,1
1,3,1,7,0,15,21,44.05,29.36666667,8.366666667,0,1
1,3,1,8,0,15,52,44.05,29.36666667,22.63333333,0,1
1,3,1,9,0,15,62,44.05,29.36666667,32.63333333,0,1
1,3,1,10,0,15,23,44.05,29.36666667,6.366666667,0,1
1,3,1,11,0,15,53,44.05,29.36666667,23.63333333,0,1
1,3,1,12,0,15,5,44.05,29.36666667,24.36666667,0,1
1,3,1,13,0,15,67,44.05,29.36666667,37.63333333,0,1
1,3,1,14,0,15,32,44.05,29.36666667,2.633333333,0,1
1,3,1,15,0,15,40,44.05,29.36666667,10.63333333,0,1
1,3,1,16,20,35,30,44.05,29.36666667,0.633333333,1,1
1,3,1,17,0,15,90,44.05,29.36666667,60.63333333,0,1
1,3,1,18,0,15,39,44.05,29.36666667,9.633333333,0,1
1,3,1,19,0,15,47,44.05,29.36666667,17.63333333,0,1
1,3,1,20,0,15,38,44.05,29.36666667,8.633333333,0,1
1,3,2,1,0,15,42,32.7,21.8,20.2,0,2
1,3,2,2,0,15,35,32.7,21.8,13.2,0,2
1,3,2,3,0,15,19,32.7,21.8,2.8,0,2
1,3,2,4,0,15,29,32.7,21.8,7.2,0,2
1,3,2,5,0,15,20,32.7,21.8,1.8,0,2
1,3,2,6,0,15,16,32.7,21.8,5.8,0,2
1,3,2,7,0,15,60,32.7,21.8,38.2,0,2
1,3,2,8,0,15,30,32.7,21.8,8.2,0,2
1,3,2,9,0,15,17,32.7,21.8,4.8,0,2
1,3,2,10,10,25,21,32.7,21.8,0.8,1,2
1,3,2,11,0,15,19,32.7,21.8,2.8,0,2
1,3,2,12,0,15,78,32.7,21.8,56.2,0,2
1,3,2,13,0,15,53,32.7,21.8,31.2,0,2
1,3,2,14,0,15,25,32.7,21.8,3.2,0,2
1,3,2,15,0,15,10,32.7,21.8,11.8,0,2
1,3,2,16,0,35,36,32.7,21.8,14.2,0,2
1,3,2,17,0,15,40,32.7,21.8,18.2,0,2
1,3,2,18,10,25,21,32.7,21.8,0.8,1,2
1,3,2,19,0,15,39,32.7,21.8,17.2,0,2
1,3,2,20,0,15,44,32.7,21.8,22.2,0,2
1,3,3,1,0,15,22,19.6,13.06666667,8.933333333,0,1
1,3,3,2,0,15,15,19.6,13.06666667,1.933333333,0,1
1,3,3,3,0,15,20,19.6,13.06666667,6.933333333,0,1
1,3,3,4,0,15,17,19.6,13.06666667,3.933333333,0,1
1,3,3,5,0,15,21,19.6,13.06666667,7.933333333,0,1
1,3,3,6,0,15,14,19.6,13.06666667,0.933333333,0,1
1,3,3,7,0,15,21,19.6,13.06666667,7.933333333,0,1
1,3,3,8,0,15,16,19.6,13.06666667,2.933333333,0,1
1,3,3,9,0,15,14,19.6,13.06666667,0.933333333,0,1
1,3,3,10,0,25,17,19.6,13.06666667,3.933333333,0,1
1,3,3,11,0,15,17,19.6,13.06666667,3.933333333,0,1
1,3,3,12,0,15,14,19.6,13.06666667,0.933333333,0,1
1,3,3,13,0,15,35,19.6,13.06666667,21.93333333,0,1
1,3,3,14,0,15,20,19.6,13.06666667,6.933333333,0,1
1,3,3,15,0,15,14,19.6,13.06666667,0.933333333,0,1
1,3,3,16,20,55,13,19.6,13.06666667,0.066666667,1,1
1,3,3,17,0,15,22,19.6,13.06666667,8.933333333,0,1
1,3,3,18,0,25,14,19.6,13.06666667,0.933333333,0,1
1,3,3,19,0,15,37,19.6,13.06666667,23.93333333,0,1
1,3,3,20,0,15,29,19.6,13.06666667,15.93333333,0,1
1,3,4,1,0,15,15,12.28,8.186666667,6.813333333,0,2
1,3,4,2,0,15,9,12.28,8.186666667,0.813333333,0,2
1,3,4,3,0,15,9,12.28,8.186666667,0.813333333,0,2
1,3,4,4,0,15,7,12.28,8.186666667,1.186666667,0,2
1,3,4,5,0,15,8.6,12.28,8.186666667,0.413333333,0,2
1,3,4,6,10,25,8,12.28,8.186666667,0.186666667,1,2
1,3,4,7,10,25,8,12.28,8.186666667,0.186666667,1,2
1,3,4,8,0,15,12,12.28,8.186666667,3.813333333,0,2
1,3,4,9,0,15,9,12.28,8.186666667,0.813333333,0,2
1,3,4,10,0,25,11,12.28,8.186666667,2.813333333,0,2
1,3,4,11,0,15,9,12.28,8.186666667,0.813333333,0,2
1,3,4,12,0,15,23,12.28,8.186666667,14.81333333,0,2
1,3,4,13,0,15,31,12.28,8.186666667,22.81333333,0,2
1,3,4,14,0,15,12,12.28,8.186666667,3.813333333,0,2
1,3,4,15,0,15,3,12.28,8.186666667,5.186666667,0,2
1,3,4,16,0,55,9,12.28,8.186666667,0.813333333,0,2
1,3,4,17,0,15,35,12.28,8.186666667,26.81333333,0,2
1,3,4,18,0,25,5,12.28,8.186666667,3.186666667,0,2
1,3,4,19,0,15,17,12.28,8.186666667,8.813333333,0,2
1,3,4,20,0,15,5,12.28,8.186666667,3.186666667,0,2
1,3,5,1,0,15,8,7.61,5.073333333,2.926666667,0,3
1,3,5,2,0,15,4,7.61,5.073333333,1.073333333,0,3
1,3,5,3,6.666666667,21.66666667,5,7.61,5.073333333,0.073333333,1,3
1,3,5,4,6.666666667,21.66666667,5,7.61,5.073333333,0.073333333,1,3
1,3,5,5,0,15,5.2,7.61,5.073333333,0.126666667,0,3
1,3,5,6,0,25,6,7.61,5.073333333,0.926666667,0,3
1,3,5,7,0,25,3,7.61,5.073333333,2.073333333,0,3
1,3,5,8,0,15,6,7.61,5.073333333,0.926666667,0,3
1,3,5,9,0,15,3,7.61,5.073333333,2.073333333,0,3
1,3,5,10,0,25,8,7.61,5.073333333,2.926666667,0,3
1,3,5,11,0,15,9,7.61,5.073333333,3.926666667,0,3
1,3,5,12,0,15,6,7.61,5.073333333,0.926666667,0,3
1,3,5,13,0,15,15,7.61,5.073333333,9.926666667,0,3
1,3,5,14,0,15,6,7.61,5.073333333,0.926666667,0,3
1,3,5,15,0,15,4,7.61,5.073333333,1.073333333,0,3
1,3,5,16,0,55,7,7.61,5.073333333,1.926666667,0,3
1,3,5,17,0,15,35,7.61,5.073333333,29.92666667,0,3
1,3,5,18,6.666666667,31.66666667,5,7.61,5.073333333,0.073333333,1,3
1,3,5,19,0,15,2,7.61,5.073333333,3.073333333,0,3
1,3,5,20,0,15,10,7.61,5.073333333,4.926666667,0,3
