 Estimulo, Respuesta,Confidence,,,,,,Confidence,
244,s,5,,,,,,2,
245,n,1,,,,,,2,
246,n,2,,,,,,2,
247,s,5,,,,,,2,
248,s,5,,,,,,2,
249,s,6,,,,,,2,
250,s,6,,,,,,2,
251,s,6,,,,,,2,
252,n,1,,,,,,2,
253,n,2,,,,,,2,
254,s,6,,,,,,2,
255,s,6,,,,,,2,
256,n,1,,,,,,2,
257,n,2,,,,,,2,
258,s,6,,,,,,2,
259,s,5,,,,,,2,
260,s,5,,,,,,2,
261,s,6,,,,,,2,
262,n,1,,,,,,2,
263,s,6,,,,,,2,
264,s,5,,,,,,2,
265,s,6,,,,,,2,
266,n,2,,,,,,2,
267,s,5,,,,,,2,
268,s,6,,,,,,2,
269,s,6,,,,,,2,
270,s,6,,,,,,2,
271,n,1,,,,,,2,
272,n,1,,,,,,2,
273,s,6,,,,,,2,
274,n,2,,,,,,2,
275,s,5,,,,,,2,
276,s,5,,,,,,2,
277,n,2,,,,,,2,
278,n,2,,,,,,2,
279,s,5,,,,,,2,
280,n,1,,,,,,2,
281,s,6,,,,,,2,
282,n,2,,,,,,2,
283,s,6,,,,,,2,
284,n,1,,,,,,2,
285,s,5,,,,,,2,
286,n,1,,,,,,2,
287,s,6,,,,,,2,
288,n,1,,,,,,2,
289,s,6,,,,,,2,
290,n,1,,,,,,2,
291,s,5,,,,,,2,
292,s,6,,,,,,2,
293,n,2,,,,,,2,
294,n,1,,,,,,2,
295,s,6,,,,,,2,
296,n,2,,,,,,2,
297,n,1,,,,,,2,
298,n,2,,,,,,2,
299,n,2,,,,,,2,
300,s,5,,,,,,2,
301,s,6,,,,,,2,
302,s,6,,,,,,2,
303,s,6,,,,,,2,
304,n,2,,,,,,2,
305,s,6,,,,,,2,
306,n,2,,,,,,2,
307,s,5,,,,,,2,
308,n,1,,,,,,2,
309,s,6,,,,,,2,
310,n,3,,,,,,2,
311,n,1,,,,,,2,
312,s,6,,,,,,2,
313,n,2,,,,,,2,
