Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, 
0,12,n,True,1,0,
1,29,s,False,1,1,
2,5,n,True,2,1,
3,23,n,True,3,1,
4,15,n,False,3,2,
0,19,n,False,0,
1,18,s,False,0,
2,21,n,False,0,
3,12,s,False,1,
4,1,n,False,1,
