Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, 
0,20,n,True,1,0,
1,22,n,True,2,0,
2,15,s,True,3,0,
3,7,n,True,4,0,
4,13,s,True,5,0,
0,4,n,True,6,0,
1,28,s,False,6,1,
2,6,n,True,7,1,
3,29,n,True,8,1,
4,3,n,True,9,1,
