Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, 
0,23,n,False,0,1,
1,20,n,False,0,2,
0,18,s,False,0,
1,20,s,False,0,
2,43,n,False,0,
3,2,n,False,0,
4,22,s,False,0,
5,47,n,False,0,
6,2,n,False,0,
7,32,s,False,0,
8,12,n,False,0,
9,4,n,False,0,
10,7,n,False,0,
11,23,s,False,0,
12,19,s,False,0,
13,46,n,False,0,
14,2,n,False,0,
15,27,s,False,0,
16,33,n,False,0,
17,3,n,False,0,
18,42,n,False,0,
19,40,n,False,0,
20,38,n,False,0,
21,33,n,False,0,
22,7,n,False,0,
23,27,n,False,0,
24,28,n,False,0,
