Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, 
0,1,n,True,1,0,
1,14,s,True,2,0,
2,17,s,True,3,0,
3,2,n,True,4,0,
4,30,n,True,5,0,
