Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, 
0,36,s,True,1,0,
1,35,s,True,2,0,
2,39,n,True,3,0,
3,8,n,True,4,0,
4,20,s,True,5,0,
5,36,s,True,6,0,
6,20,s,True,7,0,
7,12,n,True,8,0,
8,47,n,True,9,0,
9,7,n,True,10,0,
10,22,n,False,10,1,
11,14,s,True,11,1,
12,37,n,True,12,1,
13,19,s,True,13,1,
14,18,s,True,14,1,
15,3,n,True,15,1,
16,23,s,True,16,1,
17,35,s,True,17,1,
18,2,n,True,18,1,
19,36,s,True,19,1,
20,19,s,True,20,1,
21,11,n,True,21,1,
22,46,n,True,22,1,
23,35,n,False,22,2,
24,7,n,True,23,2,
25,46,n,True,24,2,
26,12,s,False,24,3,
27,29,s,True,25,3,
28,34,s,True,26,3,
29,29,s,True,27,3,
30,20,s,True,28,3,
31,45,n,True,29,3,
32,21,s,True,30,3,
33,8,s,False,30,4,
34,29,s,True,31,4,
35,30,s,True,32,4,
36,23,s,True,33,4,
37,47,n,True,34,4,
38,6,n,True,35,4,
39,33,s,True,36,4,
40,36,s,True,37,4,
41,32,s,True,38,4,
42,2,n,True,39,4,
43,16,s,True,40,4,
44,18,s,True,41,4,
45,43,n,True,42,4,
46,35,s,True,43,4,
47,15,s,True,44,4,
0,40,n,True,0,
1,16,s,True,0,
2,35,s,True,0,
3,8,n,True,0,
4,20,n,True,0,
5,42,n,True,0,
6,7,n,True,0,
7,17,s,True,0,
8,12,n,True,0,
9,12,n,True,0,
10,48,s,True,1,
11,16,s,True,1,
12,41,n,True,1,
13,40,n,True,1,
14,21,s,True,1,
15,1,n,True,1,
16,6,n,True,1,
17,6,n,True,1,
18,3,n,True,1,
19,16,s,True,1,
20,17,s,True,1,
21,42,n,True,1,
22,14,s,True,1,
23,16,s,True,1,
24,24,s,True,1,
25,35,s,True,1,
26,11,n,True,1,
27,26,n,True,1,
28,2,n,True,1,
29,32,s,True,1,
30,19,n,True,1,
31,11,n,True,1,
32,26,s,True,1,
33,25,s,True,1,
34,14,s,True,1,
35,14,s,True,1,
36,9,n,True,1,
37,37,n,True,1,
38,11,n,True,1,
39,43,n,True,1,
40,28,s,True,1,
41,32,s,True,1,
42,39,n,True,1,
43,3,n,True,1,
44,45,n,True,1,
45,8,n,True,1,
46,29,s,True,1,
47,15,s,True,1,
