Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, ,
34,22,s,False,112,115,False,112,False,0,1,115,False,0,,
16,22,s,False,128,129,False,128,False,0,1,129,False,0,,
23,22,s,False,156,156,False,156,False,0,1,156,False,0,,
29,23,s,False,13,17,False,13,False,0,1,17,False,0,,
2,23,s,False,25,26,False,25,False,0,1,26,False,0,,
32,23,s,False,62,67,False,62,False,0,1,67,False,0,,
24,23,s,False,87,82,False,87,False,0,1,82,False,0,,
38,23,s,False,115,116,False,115,False,0,1,116,False,0,,
19,23,s,False,128,132,False,128,False,0,1,132,False,0,,
34,23,s,False,160,163,False,160,False,0,1,163,False,0,,
13,24,s,False,3,11,False,3,False,0,1,11,False,0,,
17,24,s,False,33,33,False,33,False,0,1,33,False,0,,
24,24,s,False,57,64,False,57,False,0,1,64,False,0,,
27,24,s,False,88,84,False,88,False,0,1,84,False,0,,
9,24,s,False,100,102,False,100,False,0,1,102,False,0,,
2,24,s,False,121,122,False,121,False,0,1,122,False,0,,
0,24,s,False,91,145,False,84,False,0,1,84,False,0,,168
27,25,s,False,12,16,False,12,False,0,1,16,False,0,,84
26,25,s,False,38,37,False,38,False,0,1,37,False,0,,
31,25,s,False,62,66,False,62,False,0,1,66,False,0,,
30,25,s,False,88,87,False,88,False,0,1,87,False,0,,
16,25,s,False,103,106,False,103,False,0,1,106,False,0,,
24,25,s,False,130,135,False,130,False,0,1,135,False,0,,
42,25,s,False,164,167,False,164,False,0,1,167,False,0,,
2,26,s,False,0,3,False,0,False,0,1,3,False,0,,
11,26,s,False,29,31,False,29,False,0,1,31,False,0,,
45,26,s,False,70,72,False,70,False,0,1,72,False,0,,
31,26,s,False,88,88,False,88,False,0,1,88,False,0,,
3,26,s,False,97,99,False,97,False,0,1,99,False,0,,
28,26,s,False,132,137,False,132,False,0,1,137,False,0,,
4,26,s,False,145,148,False,145,False,0,1,148,False,0,,
25,27,s,False,11,15,False,11,False,0,1,15,False,0,,
10,27,s,False,29,30,False,29,False,0,1,30,False,0,,
23,27,s,False,57,63,False,57,False,0,1,63,False,0,,
12,27,s,False,79,78,False,79,False,0,1,78,False,0,,
45,27,s,False,119,119,False,119,False,0,1,119,False,0,,
20,27,s,False,128,133,False,128,False,0,1,133,False,0,,
11,27,s,False,150,150,False,150,False,0,1,150,False,0,,
32,28,s,False,14,19,False,14,False,0,1,19,False,0,,
43,28,s,False,47,45,False,47,False,0,1,45,False,0,,
41,28,s,False,68,70,False,68,False,0,1,70,False,0,,
8,28,s,False,77,76,False,77,False,0,1,76,False,0,,
18,28,s,False,103,108,False,103,False,0,1,108,False,0,,
6,28,s,False,123,124,False,123,False,0,1,124,False,0,,
35,28,s,False,160,164,False,160,False,0,1,164,False,0,,
43,29,s,False,23,21,False,23,False,0,1,21,False,0,,
5,29,s,False,26,28,False,26,False,0,1,28,False,0,,
15,29,s,False,54,58,False,54,False,0,1,58,False,0,,
45,29,s,False,94,96,False,94,False,0,1,96,False,0,,
7,29,s,False,99,101,False,99,False,0,1,101,False,0,,
36,29,s,False,135,142,False,135,False,0,1,142,False,0,,
24,29,s,False,156,157,False,156,False,0,1,157,False,0,,
1,30,s,False,0,2,False,0,False,0,1,2,False,0,,
1,30,s,False,25,25,False,25,False,0,1,25,False,0,,
22,30,s,False,57,62,False,57,False,0,1,62,False,0,,
41,30,s,False,92,94,False,92,False,0,1,94,False,0,,
17,30,s,False,103,107,False,103,False,0,1,107,False,0,,
22,30,s,False,129,134,False,129,False,0,1,134,False,0,,
13,30,s,False,151,151,False,151,False,0,1,151,False,0,,
24,31,s,1,11,14,1,11,False,0,False,14,False,0,,
25,31,s,1,38,36,1,38,False,0,False,36,False,0,,
25,31,s,1,58,64,1,58,False,0,False,64,False,0,,
23,31,s,1,87,81,1,87,False,0,False,81,False,0,,
25,31,s,1,109,109,1,109,False,0,False,109,False,0,,
37,31,s,1,136,142,1,136,False,0,False,142,False,0,,
40,31,s,1,164,165,1,164,False,0,False,165,False,0,,
15,32,s,1,5,11,1,5,False,0,False,11,False,0,,
12,32,s,1,30,31,1,30,False,0,False,31,False,0,,
12,32,s,1,52,57,1,52,False,0,False,57,False,0,,
7,32,s,1,77,75,1,77,False,0,False,75,False,0,,
23,32,s,1,107,109,1,107,False,0,False,109,False,0,,
32,32,s,1,134,139,1,134,False,0,False,139,False,0,,
12,32,s,1,151,150,1,151,False,0,False,150,False,0,,
28,33,s,1,13,16,1,13,False,0,False,16,False,0,,
47,33,s,1,48,48,1,48,False,0,False,48,False,0,,
35,33,s,1,65,67,1,65,False,0,False,67,False,0,,
33,33,s,1,89,89,1,89,False,0,False,89,False,0,,
47,33,s,1,120,120,1,120,False,0,False,120,False,0,,
26,33,s,1,131,136,1,131,False,0,False,136,False,0,,
8,33,s,1,149,148,1,149,False,0,False,148,False,0,,
40,34,s,1,21,20,1,21,False,0,False,20,False,0,,
8,34,s,1,29,28,1,29,False,0,False,28,False,0,,
34,34,s,1,64,67,1,64,False,0,False,67,False,0,,
39,34,s,1,92,92,1,92,False,0,False,92,False,0,,
15,34,s,1,103,105,1,103,False,0,False,105,False,0,,
27,34,s,1,132,136,1,132,False,0,False,136,False,0,,
32,34,s,1,159,162,1,159,False,0,False,162,False,0,,
45,35,s,1,24,22,1,24,False,0,False,22,False,0,,
33,35,s,1,41,41,1,41,False,0,False,41,False,0,,
39,35,s,1,67,69,1,67,False,0,False,69,False,0,,
0,35,s,1,73,72,1,73,False,0,False,72,False,0,,
36,35,s,1,114,115,1,114,False,0,False,115,False,0,,
21,35,s,1,129,133,1,129,False,0,False,133,False,0,,
27,35,s,1,158,158,1,158,False,0,False,158,False,0,,
20,36,s,1,9,12,1,9,False,0,False,12,False,0,,
23,36,s,1,37,35,1,37,False,0,False,35,False,0,,
28,36,s,1,61,64,1,61,False,0,False,64,False,0,,
42,36,s,1,93,94,1,93,False,0,False,94,False,0,,
14,36,s,1,102,105,1,102,False,0,False,105,False,0,,
7,36,s,1,124,124,1,124,False,0,False,124,False,0,,
7,36,s,1,148,148,1,148,False,0,False,148,False,0,,
30,37,s,1,14,17,1,14,False,0,False,17,False,0,,
29,37,s,1,40,38,1,40,False,0,False,38,False,0,,
4,37,s,1,50,51,1,50,False,0,False,51,False,0,,
26,37,s,1,88,83,1,88,False,0,False,83,False,0,,
19,37,s,1,104,108,1,104,False,0,False,108,False,0,,
1,37,s,1,121,121,1,121,False,0,False,121,False,0,,
46,37,s,1,167,168,1,167,False,0,False,168,False,0,,
14,38,s,1,4,11,1,4,False,0,False,11,False,0,,
27,38,s,1,39,37,1,39,False,0,False,37,False,0,,
47,38,s,1,72,72,1,72,False,0,False,72,False,0,,
20,38,s,1,85,80,1,85,False,0,False,80,False,0,,
35,38,s,1,113,115,1,113,False,0,False,115,False,0,,
29,38,s,1,133,137,1,133,False,0,False,137,False,0,,
43,38,s,1,165,167,1,165,False,0,False,167,False,0,,
35,39,s,1,16,20,1,16,False,0,False,20,False,0,,
7,39,s,1,28,28,1,28,False,0,False,28,False,0,,
26,39,s,1,59,64,1,59,False,0,False,64,False,0,,
36,39,s,1,90,91,1,90,False,0,False,91,False,0,,
37,39,s,1,115,115,1,115,False,0,False,115,False,0,,
46,39,s,1,143,144,1,143,False,0,False,144,False,0,,
20,39,s,1,155,154,1,155,False,0,False,154,False,0,,
39,40,s,1,20,20,1,20,False,0,False,20,False,0,,
20,40,s,1,35,34,1,35,False,0,False,34,False,0,,
40,40,s,1,68,69,1,68,False,0,False,69,False,0,,
15,40,s,1,81,79,1,81,False,0,False,79,False,0,,
24,40,s,1,108,109,1,108,False,0,False,109,False,0,,
11,40,s,1,126,126,1,126,False,0,False,126,False,0,,
5,40,s,1,146,148,1,146,False,0,False,148,False,0,,
19,41,s,1,8,12,1,8,False,0,False,12,False,0,,
14,41,s,1,31,32,1,31,False,0,False,32,False,0,,
8,41,s,1,51,54,1,51,False,0,False,54,False,0,,
18,41,s,1,83,80,1,83,False,0,False,80,False,0,,
20,41,s,1,105,108,1,105,False,0,False,108,False,0,,
15,41,s,1,128,128,1,128,False,0,False,128,False,0,,
18,41,s,1,154,153,1,154,False,0,False,153,False,0,,
5,42,s,1,1,5,1,1,False,0,0,5,False,0,,
19,42,s,1,34,34,1,34,False,0,0,34,False,0,,
29,42,s,1,61,65,1,61,False,0,0,65,False,0,,
3,42,s,1,74,74,1,74,False,0,0,74,False,0,,
21,42,s,1,105,109,1,105,False,0,0,109,False,0,,
33,42,s,1,134,140,1,134,False,0,0,140,False,0,,
30,42,s,1,158,161,1,158,False,0,0,161,False,0,,
6,43,s,0,1,6,False,1,False,0,1,6,False,0,,
45,43,s,0,47,47,False,47,False,0,1,47,False,0,,
3,43,s,False,49,51,False,49,False,0,1,51,False,0,,
22,43,s,False,86,81,False,86,False,0,1,81,False,0,,
31,43,s,False,110,114,False,110,False,0,1,114,False,0,,
14,43,s,False,127,128,False,127,False,0,1,128,False,0,,
15,43,s,False,152,152,False,152,False,0,1,152,False,0,,
47,44,s,False,24,24,False,24,False,0,1,24,False,0,,
31,44,s,False,40,40,False,40,False,0,1,40,False,0,,
44,44,s,False,70,71,False,70,False,0,1,71,False,0,,
40,44,s,False,92,93,False,92,False,0,1,93,False,0,,
13,44,s,False,101,105,False,101,False,0,1,105,False,0,,
4,44,s,False,122,123,False,122,False,0,1,123,False,0,,
26,44,s,False,157,158,False,157,False,0,1,158,False,0,,
12,45,s,False,3,10,False,3,False,0,1,10,False,0,,
32,45,s,False,40,41,False,40,False,0,1,41,False,0,,
19,45,s,False,56,60,False,56,False,0,1,60,False,0,,
9,45,s,False,77,77,False,77,False,0,1,77,False,0,,
28,45,s,False,109,112,False,109,False,0,1,112,False,0,,
30,45,s,False,133,138,False,133,False,0,1,138,False,0,,
3,45,s,False,145,147,False,145,False,0,1,147,False,0,,
10,46,s,False,3,8,False,3,False,0,1,8,False,0,,
24,46,s,False,37,36,False,37,False,0,1,36,False,0,,
21,46,s,False,57,61,False,57,False,0,1,61,False,0,,
25,46,s,False,87,83,False,87,False,0,1,83,False,0,,
12,46,s,False,101,104,False,101,False,0,1,104,False,0,,
31,46,s,False,133,139,False,133,False,0,1,139,False,0,,
9,46,s,False,149,149,False,149,False,0,1,149,False,0,,
34,47,s,False,15,20,False,15,False,0,1,20,False,0,,
44,47,s,False,47,46,False,47,False,0,1,46,False,0,,
1,47,s,False,49,49,False,49,False,0,1,49,False,0,,
35,47,s,False,89,91,False,89,False,0,1,91,False,0,,
29,47,s,False,109,113,False,109,False,0,1,113,False,0,,
9,47,s,False,125,125,False,125,False,0,1,125,False,0,,
22,47,s,False,156,155,False,156,False,0,1,155,False,0,,
0,48,s,False,0,1,False,0,False,0,1,1,False,0,,
39,48,s,False,45,43,False,45,False,0,1,43,False,0,,
38,48,s,False,66,69,False,66,False,0,1,69,False,0,,
2,48,s,False,74,73,False,74,False,0,1,73,False,0,,
41,48,s,False,117,117,False,117,False,0,1,117,False,0,,
13,48,s,False,127,127,False,127,False,0,1,127,False,0,,
19,48,s,False,77,m,False,84,False,0,1,84,False,0,,
,,,,,,,,,,,,,,,
,,,,,,,168,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,168,,,,,,,,,,
