Sujeto,Grupo,Condicion,Día,Hits,Rechazos,FA,Signals
3,1v4,LB,1,54,48,28,55
3,1v4,LB,2,44,55,35,51
3,1v4,LB,3,48,47,33,52
3,1v4,LB,4,45,45,29,47
3,1v4,LB,5,39,33,13,40
3,1v4,LB,6,34,35,27,36
3,1v4,LB,7,42,44,34,47
3,1v4,LB,8,50,38,32,52
3,1v4,LB,9,47,54,48,49
3,1v4,LB,10,55,56,48,59
3,1v4,M,1,43,48,30,43
3,1v4,M,2,39,36,18,43
3,1v4,M,3,33,39,19,36
3,1v4,M,4,49,47,29,52
3,1v4,M,5,44,47,31,45
3,1v4,M,6,43,48,30,47
3,1v4,M,7,48,27,25,51
3,1v4,M,8,51,49,31,52
3,1v4,M,9,43,38,20,44
3,1v4,M,10,35,38,18,40
3,2v8,LB,1,43,34,20,45
3,2v8,LB,2,28,36,22,33
3,2v8,LB,3,23,32,16,29
3,2v8,LB,4,34,31,17,34
3,2v8,LB,5,42,41,35,46
3,2v8,LB,6,32,39,31,36
3,2v8,LB,7,34,32,24,35
3,2v8,LB,8,33,26,18,36
3,2v8,LB,9,34,38,36,37
3,2v8,LB,10,31,25,19,33
3,2v8,M,1,29,32,16,32
3,2v8,M,2,43,40,25,46
3,2v8,M,3,31,32,22,36
3,2v8,M,4,31,33,23,35
3,2v8,M,5,26,15,15,28
3,2v8,M,6,33,32,24,37
3,2v8,M,7,32,34,28,33
3,2v8,M,8,24,16,12,27
3,2v8,M,9,29,33,27,36
3,2v8,M,10,24,35,31,30
3,3v12,LB,1,37,30,22,39
3,3v12,LB,2,43,50,42,45
3,3v12,LB,3,38,31,25,40
3,3v12,LB,4,41,42,36,44
3,3v12,LB,5,22,29,23,23
3,3v12,LB,6,33,30,16,34
3,3v12,LB,7,37,29,15,37
3,3v12,LB,8,39,38,24,40
3,3v12,LB,9,38,37,25,38
3,3v12,LB,10,36,34,20,38
3,3v12,M,1,52,44,38,55
3,3v12,M,2,28,30,22,28
3,3v12,M,3,44,42,34,44
3,3v12,M,4,39,45,39,41
3,3v12,M,5,44,42,38,45
3,3v12,M,6,29,34,18,33
3,3v12,M,7,29,30,16,33
3,3v12,M,8,32,34,22,33
3,3v12,M,9,34,28,12,36
3,3v12,M,10,27,31,15,30
3,5v2,LB,1,35,34,34,37
3,5v2,LB,2,39,31,29,42
3,5v2,LB,3,34,34,30,36
3,5v2,LB,4,25,21,19,27
3,5v2,LB,5,23,20,14,27
3,5v2,LB,6,45,41,29,47
3,5v2,LB,7,35,35,25,35
3,5v2,LB,8,40,33,29,41
3,5v2,LB,9,38,40,36,39
3,5v2,LB,10,31,32,24,35
3,5v2,M,1,35,39,33,37
3,5v2,M,2,39,44,40,45
3,5v2,M,3,39,45,41,42
3,5v2,M,4,29,26,22,32
3,5v2,M,5,36,49,41,37
3,5v2,M,6,43,53,42,53
3,5v2,M,7,41,39,25,45
3,5v2,M,8,31,25,21,36
3,5v2,M,9,28,33,23,35
3,5v2,M,10,25,36,24,27
