Ensayo,|, Respuesta, Correcto, Aciertos, Errores, Hits,, Rechazos,, Falsas alarmas,, Omisiones,, 
110,37,n,1,100,11,False,,1,,False,,False,,
197,37,n,1,175,23,False,,1,,False,,False,,
203,37,s,False,179,25,False,,False,,1,,False,,
225,37,s,False,198,28,False,,False,,1,,False,,
237,37,n,1,209,29,False,,1,,False,,False,,
34,38,s,False,31,4,False,,False,,1,,False,,
72,38,s,False,64,9,False,,False,,1,,False,,
143,38,n,1,129,15,False,,1,,False,,False,,
149,38,s,False,133,17,False,,False,,1,,False,,
286,38,s,False,253,34,False,,False,,1,,False,,
309,38,s,False,272,38,False,,False,,1,,False,,
325,38,s,False,287,39,False,,False,,1,,False,,
71,39,n,1,64,8,False,,1,,False,,False,,
108,39,n,1,98,11,False,,1,,False,,False,,
152,39,s,False,135,18,False,,False,,1,,False,,
154,39,n,1,137,18,False,,1,,False,,False,,
230,39,s,False,202,29,False,,False,,1,,False,,
247,39,n,1,219,29,False,,1,,False,,False,,
271,39,s,False,241,31,False,,False,,1,,False,,
2,40,s,False,2,1,False,,False,,1,,False,,
4,40,n,1,4,1,False,,1,,False,,False,,
58,40,s,False,52,7,False,,False,,1,,False,,
95,40,s,False,85,11,False,,False,,1,,False,,
148,40,s,False,133,16,False,,False,,1,,False,,
181,40,s,False,161,21,False,,False,,1,,False,,
186,40,s,False,165,22,False,,False,,1,,False,,
22,41,n,1,21,2,False,,1,,False,,False,,
90,41,n,1,81,10,False,,1,,False,,False,,
133,41,n,1,120,14,False,,1,,False,,False,,
138,41,s,False,124,15,False,,False,,1,,False,,
188,41,n,1,167,22,False,,1,,False,,False,,
192,41,s,False,170,23,False,,False,,1,,False,,
217,41,n,1,192,26,False,,1,,False,,False,,
77,42,s,False,68,10,False,,False,,1,,False,,
124,42,s,False,113,12,False,,False,,1,,False,,
172,42,s,False,153,20,False,,False,,1,,False,,
198,42,s,False,175,24,False,,False,,1,,False,,
222,42,s,False,196,27,False,,False,,1,,False,,
257,42,n,1,228,30,False,,1,,False,,False,,
327,42,s,False,288,40,False,,False,,1,,False,,
120,43,n,1,110,11,False,,1,,False,,False,,
191,43,n,1,170,22,False,,1,,False,,False,,
221,43,n,1,196,26,False,,1,,False,,False,,
241,43,n,1,213,29,False,,1,,False,,False,,
248,43,n,1,220,29,False,,1,,False,,False,,
264,43,n,1,235,30,False,,1,,False,,False,,
319,43,n,1,282,38,False,,1,,False,,False,,
3,44,n,1,3,1,False,,1,,False,,False,,
35,44,n,1,32,4,False,,1,,False,,False,,
129,44,s,False,117,13,False,,False,,1,,False,,
135,44,n,1,122,14,False,,1,,False,,False,,
200,44,n,1,177,24,False,,1,,False,,False,,
262,44,n,1,233,30,False,,1,,False,,False,,
269,44,n,1,240,30,False,,1,,False,,False,,
25,45,n,1,24,2,False,,1,,False,,False,,
60,45,n,1,54,7,False,,1,,False,,False,,
63,45,n,1,57,7,False,,1,,False,,False,,
87,45,n,1,78,10,False,,1,,False,,False,,
113,45,n,1,103,11,False,,1,,False,,False,,
218,45,n,1,193,26,False,,1,,False,,False,,
297,45,n,1,263,35,False,,1,,False,,False,,
28,46,n,1,26,3,False,,1,,False,,False,,
36,46,n,1,33,4,False,,1,,False,,False,,
68,46,n,1,61,8,False,,1,,False,,False,,
116,46,n,1,106,11,False,,1,,False,,False,,
146,46,n,1,132,15,False,,1,,False,,False,,
209,46,n,1,185,25,False,,1,,False,,False,,
215,46,n,1,190,26,False,,1,,False,,False,,
51,47,n,1,47,5,False,,1,,False,,False,,
74,47,n,1,66,9,False,,1,,False,,False,,
121,47,n,1,111,11,False,,1,,False,,False,,
185,47,n,1,165,21,False,,1,,False,,False,,
216,47,n,1,191,26,False,,1,,False,,False,,
258,47,n,1,229,30,False,,1,,False,,False,,
317,47,n,1,280,38,False,,1,,False,,False,,
16,48,n,1,15,2,False,,1,,False,,False,,
50,48,n,1,46,5,False,,1,,False,,False,,
104,48,n,1,94,11,False,,1,,False,,False,,
151,48,n,1,135,17,False,,1,,False,,False,,
179,48,n,1,160,20,False,,1,,False,,False,,
227,48,n,1,200,28,False,,1,,False,,False,,
330,48,n,1,291,40,False,,1,,False,,False,,
