Sujeto,d_A,d_B,A_FA,FaR_A,B_FA,FaR_B,B_H,Hr_B,A_H,Hr_A,R_AN,R_BN,R_BS,R_AS,M_BS,M_AS,RT_AS_1,RT_AN_1,RT_A_1,RT_BS_1,RT_BN_1,RT_B_1,RT_AS_2,RT_AN_2,RT_A_2,RT_BS_2,RT_BN_2,RT_B_2,RT_AS_3,RT_AN_3,RT_A_3,RT_BS_3,RT_BN_3,RT_B_3,H_A_C,H_B_C,M_A_C,M_B_C,R_A_C,R_B_C,F_A_C,F_B_C
1,2.517,2.085,21,0.13125,28,0.175,140,0.875,147,0.91875,1.65625,1.86875,5.31875,5.59375,1.35,1.5384,2.7489,2.2638,2.5064,3.2382,2.4596,2.8489,1.2478,0.7627,1.0052,1.7372,0.9585,1.3478,0.9826,0.7896,0.8861,1.5389,2.0088,1.7739,5.952381,5.885714,1.538462,1.35,1.021583,1.030303,5.857143,5.8214
2,3.614,3.22,3,0.01875,12,0.075,154,0.9625,150,0.9375,1.275,1.51875,5.31875,5.1875,2.333,2.1,2.009,1.8575,1.9332,1.9125,1.8934,1.9029,0.5078,0.3563,0.4321,0.04114,0.3918,0.4016,0.6426,0.6098,0.6262,0.5539,0.6493,0.6016,5.393333,5.435065,2.1,2.33333,1.2293,1.290541,4,4.33333
3,3.823,3.174,5,0.03125,9,0.05625,151,0.94375,156,0.975,1.2,1.46875,5.44375,5.4625,2.33333,1.75,2.1557,1.817,1.9863,2.2033,1.9476,2.0754,0.6548,0.3161,0.4854,0.7024,0.4467,0.5745,0.8979,0.7494,0.8236,0.8973,0.8766,0.8869,5.557692,5.629139,1.75,2.3333333,1.077419,1.225166,5,5.55555
4,3.251,2.132,2,0.0125,10,0.0625,116,0.725,135,0.84375,1.06875,1.325,4.6625,5.1875,1.613,2.2,2.6392,2.2003,2.4198,2.4866,2.2817,2.3842,1.138,0.6991,0.9185,0.9854,0.7805,0.8829,0.559,0.554,0.5565,0.5128,0.5898,0.5513,5.740741,5.818966,2.2,1.613636,1.006329,1.066667,6,5.2
5,2.162,1.661,52,0.325,66,0.4125,148,0.925,153,0.95625,3.01875,3.275,5.46875,5.475,2.16,2,2.2056,2.1811,2.1933,1.9922,2.3433,2.1678,0.6931,0.6687,0.6809,0.4798,0.8308,0.6553,0.7389,0.7389,0.7415,0.7113,0.8102,0.7608,5.633987,5.736486,2,2.1666667,1.898148,1.808511,5.346154,5.3636
6,3.669,3.027,4,0.025,7,0.04375,145,0.90625,153,0.95625,1.175,1.31875,5.21875,5.30625,2.46,2.14,2.4456,2.1083,2.2769,2.4524,2.1065,2.2795,0.9445,0.6072,0.7758,0.9513,0.6054,0.7784,0.6844,0.7408,0.7126,0.6938,0.7783,0.736,5.45098,5.503448,2.142857,2.466667,1.051282,1.137255,6,5.2857
7,3.437,2.89,3,0.01875,7,0.04375,141,0.88125,146,0.9125,1.10625,1.2375,5.33125,5.425,1.3,1.21,2.1546,2.1955,2.1714,2.1717,2.0071,2.0894,0.6421,0.6831,0.6589,0.6593,0.4946,0.577,0.3247,0.5249,0.4563,0.2684,0.3704,0.3194,5.828767,5.907801,1.214286,1.052632,1.038217,1.026144,4.666667,5.8571
8,2.008,1.034,30,0.1875,53,0.33125,116,0.725,139,0.86875,2.50625,3.15625,4.58125,4.96875,2.5909,2.3809,2.0113,2.0597,2.0256,1.9721,1.9959,1.984,0.5104,0.5589,0.5246,0.4712,0.49503,0.4831,0.579,0.5114,0.5434,0.5335,0.48201,0.5076,5.359712,5.336207,2.380952,2.590909,1.976923,2.056075,4.8,5.3773
9,3.74,2.869,6,0.0375,16,0.1,151,0.94375,156,0.975,1.425,1.7625,5.55625,5.75625,2.222,2.5,2.5058,2.4739,2.4898,2.6548,2.6541,2.6545,1.004,0.9728,0.9888,1.1538,1.1531,1.1534,0.6888,0.8968,0.7998,0.6894,0.9382,0.8136,5.839744,5.754967,2.5,2.22222,1.272727,1.340278,5.3333333,5.5625
10,2.817,1.792,6,0.0375,18,0.1125,115,0.71875,136,0.85,1.475,1.88125,4.675,5.11875,2.22222,2.583333,2.7327316,2.7973961,2.76506385,3.14767691,2.69391862,2.92079777,1.23168953,1.29634684,1.26401819,1.64664101,1.19285246,1.41974673,2.33279522,2.25071698,2.2917561,2.25067322,2.09546135,2.17306728,5.566176,5.634783,2.58333333,2.222222,1.337662,1.471831,5,5.11111
