Ensayo, Estimulo, Respuesta 
0,11,y,
1,12,n,
2,20,n,
3,11,n,
4,20,n,
5,11,n,
6,9,n,
7,11,n,
8,30,n,
9,19,n,
10,26,n,
11,18,n,
12,4,n,
13,17,n,
14,14,n,
15,8,n,
16,10,n,
17,10,y,
18,7,n,
19,6,y,
20,15,n,
21,13,y,
22,18,y,
23,5,y,
24,16,n,
25,29,n,
26,10,y,
27,4,n,
28,30,y,
29,14,y,
