Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
0,172,s,True,1,0,True,1,False,0,False,0,False,0,5,
1,613,n,True,2,0,False,1,True,1,False,0,False,0,1,
2,546,n,False,2,1,False,1,False,1,False,0,True,1,2,
3,107,s,True,3,1,True,2,False,1,False,0,False,1,5,
4,467,n,False,3,2,False,2,False,1,False,0,True,2,2,
5,584,n,True,4,2,False,2,True,2,False,0,False,2,1,
6,570,n,True,5,2,False,2,True,3,False,0,False,2,1,
7,533,s,True,6,2,True,3,False,3,False,0,False,2,5,
8,623,n,True,7,2,False,3,True,4,False,0,False,2,1,
9,287,n,True,8,2,False,3,True,5,False,0,False,2,1,
10,562,n,True,9,2,False,3,True,6,False,0,False,2,1,
11,165,s,True,10,2,True,4,False,6,False,0,False,2,5,
12,4,n,True,11,2,False,4,True,7,False,0,False,2,1,
13,97,s,True,12,2,True,5,False,7,False,0,False,2,6,
14,422,s,True,13,2,True,6,False,7,False,0,False,2,6,
15,444,s,True,14,2,True,7,False,7,False,0,False,2,4,
16,619,n,True,15,2,False,7,True,8,False,0,False,2,1,
17,152,s,True,16,2,True,8,False,8,False,0,False,2,4,
18,63,n,True,17,2,False,8,True,9,False,0,False,2,1,
19,372,n,True,18,2,False,8,True,10,False,0,False,2,1,
20,603,n,True,19,2,False,8,True,11,False,0,False,2,1,
21,210,s,True,20,2,True,9,False,11,False,0,False,2,6,
22,553,s,True,21,2,True,10,False,11,False,0,False,2,5,
23,446,s,True,22,2,True,11,False,11,False,0,False,2,5,
24,288,n,True,23,2,False,11,True,12,False,0,False,2,1,
25,604,n,True,24,2,False,11,True,13,False,0,False,2,1,
26,423,s,True,25,2,True,12,False,13,False,0,False,2,6,
27,110,s,True,26,2,True,13,False,13,False,0,False,2,5,
28,389,n,True,27,2,False,13,True,14,False,0,False,2,2,
29,28,n,True,28,2,False,13,True,15,False,0,False,2,1,
30,355,n,True,29,2,False,13,True,16,False,0,False,2,1,
31,52,n,True,30,2,False,13,True,17,False,0,False,2,1,
32,390,n,True,31,2,False,13,True,18,False,0,False,2,1,
33,518,s,True,32,2,True,14,False,18,False,0,False,2,5,
34,592,n,True,33,2,False,14,True,19,False,0,False,2,1,
35,571,n,True,34,2,False,14,True,20,False,0,False,2,1,
36,387,n,True,35,2,False,14,True,21,False,0,False,2,1,
37,353,n,True,36,2,False,14,True,22,False,0,False,2,1,
38,395,n,True,37,2,False,14,True,23,False,0,False,2,1,
39,308,n,True,38,2,False,14,True,24,False,0,False,2,1,
40,5,n,True,39,2,False,14,True,25,False,0,False,2,1,
41,83,s,True,40,2,True,15,False,25,False,0,False,2,6,
42,281,n,True,41,2,False,15,True,26,False,0,False,2,1,
43,615,n,True,42,2,False,15,True,27,False,0,False,2,1,
44,581,n,True,43,2,False,15,True,28,False,0,False,2,1,
45,374,n,True,44,2,False,15,True,29,False,0,False,2,1,
46,524,s,True,45,2,True,16,False,29,False,0,False,2,6,
47,180,n,False,45,3,False,16,False,29,False,0,True,3,3,
48,339,n,True,46,3,False,16,True,30,False,0,False,3,2,
49,549,n,False,46,4,False,16,False,30,False,0,True,4,2,
50,208,s,True,47,4,True,17,False,30,False,0,False,4,6,
51,7,n,True,48,4,False,17,True,31,False,0,False,4,1,
52,365,n,True,49,4,False,17,True,32,False,0,False,4,1,
53,382,n,True,50,4,False,17,True,33,False,0,False,4,1,
54,489,s,True,51,4,True,18,False,33,False,0,False,4,5,
55,217,s,True,52,4,True,19,False,33,False,0,False,4,5,
56,35,n,True,53,4,False,19,True,34,False,0,False,4,1,
57,223,s,True,54,4,True,20,False,34,False,0,False,4,6,
58,369,n,True,55,4,False,20,True,35,False,0,False,4,1,
59,85,s,True,56,4,True,21,False,35,False,0,False,4,5,
60,248,n,True,57,4,False,21,True,36,False,0,False,4,1,
61,148,s,True,58,4,True,22,False,36,False,0,False,4,6,
62,431,s,True,59,4,True,23,False,36,False,0,False,4,5,
63,102,s,True,60,4,True,24,False,36,False,0,False,4,5,
64,34,n,True,61,4,False,24,True,37,False,0,False,4,1,
65,459,s,True,62,4,True,25,False,37,False,0,False,4,5,
66,72,n,True,63,4,False,25,True,38,False,0,False,4,1,
67,413,s,True,64,4,True,26,False,38,False,0,False,4,5,
68,633,n,True,65,4,False,26,True,39,False,0,False,4,1,
69,65,n,True,66,4,False,26,True,40,False,0,False,4,1,
70,317,n,True,67,4,False,26,True,41,False,0,False,4,1,
71,15,n,True,68,4,False,26,True,42,False,0,False,4,1,
72,302,n,True,69,4,False,26,True,43,False,0,False,4,1,
73,362,n,True,70,4,False,26,True,44,False,0,False,4,1,
74,445,s,True,71,4,True,27,False,44,False,0,False,4,6,
75,410,s,True,72,4,True,28,False,44,False,0,False,4,6,
76,437,s,True,73,4,True,29,False,44,False,0,False,4,6,
77,272,s,False,73,5,False,29,False,44,True,1,False,4,4,
78,166,s,True,74,5,True,30,False,44,False,1,False,4,6,
79,349,n,True,75,5,False,30,True,45,False,1,False,4,1,
80,639,n,True,76,5,False,30,True,46,False,1,False,4,1,
81,380,n,True,77,5,False,30,True,47,False,1,False,4,1,
82,502,s,True,78,5,True,31,False,47,False,1,False,4,6,
83,117,s,True,79,5,True,32,False,47,False,1,False,4,6,
84,607,n,True,80,5,False,32,True,48,False,1,False,4,1,
85,80,n,True,81,5,False,32,True,49,False,1,False,4,1,
86,464,s,True,82,5,True,33,False,49,False,1,False,4,6,
87,206,s,True,83,5,True,34,False,49,False,1,False,4,6,
88,565,n,True,84,5,False,34,True,50,False,1,False,4,1,
89,393,n,True,85,5,False,34,True,51,False,1,False,4,1,
90,10,n,True,86,5,False,34,True,52,False,1,False,4,1,
91,30,n,True,87,5,False,34,True,53,False,1,False,4,1,
92,261,n,True,88,5,False,34,True,54,False,1,False,4,1,
93,406,s,True,89,5,True,35,False,54,False,1,False,4,6,
94,96,s,True,90,5,True,36,False,54,False,1,False,4,6,
95,460,s,True,91,5,True,37,False,54,False,1,False,4,5,
96,293,n,True,92,5,False,37,True,55,False,1,False,4,1,
97,528,s,True,93,5,True,38,False,55,False,1,False,4,5,
98,26,n,True,94,5,False,38,True,56,False,1,False,4,1,
99,572,n,True,95,5,False,38,True,57,False,1,False,4,1,
100,384,n,True,96,5,False,38,True,58,False,1,False,4,2,
101,185,s,True,97,5,True,39,False,58,False,1,False,4,5,
102,173,s,True,98,5,True,40,False,58,False,1,False,4,6,
103,190,s,True,99,5,True,41,False,58,False,1,False,4,6,
104,440,s,True,100,5,True,42,False,58,False,1,False,4,6,
105,146,s,True,101,5,True,43,False,58,False,1,False,4,5,
106,207,s,True,102,5,True,44,False,58,False,1,False,4,5,
107,88,s,True,103,5,True,45,False,58,False,1,False,4,6,
108,331,n,True,104,5,False,45,True,59,False,1,False,4,1,
109,583,n,True,105,5,False,45,True,60,False,1,False,4,1,
110,405,s,True,106,5,True,46,False,60,False,1,False,4,6,
111,219,s,True,107,5,True,47,False,60,False,1,False,4,5,
112,269,n,True,108,5,False,47,True,61,False,1,False,4,1,
113,470,s,True,109,5,True,48,False,61,False,1,False,4,5,
114,140,s,True,110,5,True,49,False,61,False,1,False,4,5,
115,37,n,True,111,5,False,49,True,62,False,1,False,4,1,
116,481,s,True,112,5,True,50,False,62,False,1,False,4,5,
117,575,n,True,113,5,False,50,True,63,False,1,False,4,1,
118,588,n,True,114,5,False,50,True,64,False,1,False,4,1,
119,360,n,True,115,5,False,50,True,65,False,1,False,4,1,
120,69,n,True,116,5,False,50,True,66,False,1,False,4,2,
121,330,n,True,117,5,False,50,True,67,False,1,False,4,1,
122,412,s,True,118,5,True,51,False,67,False,1,False,4,6,
123,218,s,True,119,5,True,52,False,67,False,1,False,4,5,
124,449,s,True,120,5,True,53,False,67,False,1,False,4,6,
125,530,s,True,121,5,True,54,False,67,False,1,False,4,6,
126,439,s,True,122,5,True,55,False,67,False,1,False,4,6,
