Ensayo, Estimulo, Respuesta 
0,3,s,
1,18,s,
2,28,n,
3,27,s,
4,24,s,
5,30,s,
6,23,n,
7,5,s,
8,24,s,
9,25,n,
10,12,s,
11,27,s,
12,25,n,
13,9,n,
14,18,n,
15,8,s,
16,23,n,
17,3,s,
18,15,n,
19,9,s,
20,23,n,
21,23,n,
22,9,s,
23,5,n,
24,19,n,
25,6,n,
26,25,n,
27,27,n,
28,7,n,
29,25,s,
