"","X.1","Ensayo","Estimulo","Respuesta","Correcto","Aciertos","Errores","Hits","ContadorH","Rechazos","ContadorR","Falsas.alarmas","ContadorF","Omisiones","ContadorM","Confidence","RTime1","RTime1b","RTime2","Color","X","facilidad","senal","tipo","choice","outcome","Exito","HR6","FR6","HR5","FR5","HR4","FR4","HR3","FR3","HR2","FR2","HR1","FR1"
"1",1,0,201,"n","True",1,0,"False",0,"True",1,"False",0,"False",0,1,6.45929598808,4.95814085007,3.30830597878,"Purpura",NA,"pocos","ruido","1 AN",0,3,1,"0","0","0","0","0","0","0","0","0","0","0","1"
"2",2,1,116,"n","False",1,1,"False",0,"False",1,"False",0,"True",1,1,4.04340100288,2.54224085808,1.80448198318,"Azul",NA,"pocos","senal","4 AS",0,2,0,"0","0","0","0","0","0","0","0","0","0","1","0"
"3",3,2,553,"n","True",2,1,"False",0,"True",2,"False",0,"False",1,1,2.74286413193,1.24169492722,1.50426888466,"Verde",NA,"muchos","ruido","2 BN",0,3,1,"0","0","0","0","0","0","0","0","0","0","0","1"
"4",4,3,72,"n","False",2,2,"False",0,"False",2,"False",0,"True",2,2,3.35574412346,1.8545999527,1.70426511765,"Naranja",NA,"pocos","senal","4 AS",0,2,0,"0","0","0","0","0","0","0","0","1","0","1","0"
"5",5,4,11,"n","False",2,3,"False",0,"False",2,"False",0,"True",3,1,2.54170608521,1.04063892365,2.5062789917,"Naranja",NA,"pocos","senal","4 AS",0,2,0,"0","0","0","0","0","0","0","0","0","0","1","0"
"6",6,5,324,"n","False",2,4,"False",0,"False",2,"False",0,"True",4,1,2.64903378487,1.14823079109,1.40335392952,"Naranja",NA,"muchos","senal","3 BS",0,2,0,"0","0","0","0","0","0","0","0","0","0","1","0"
"7",7,6,119,"n","False",2,5,"False",0,"False",2,"False",0,"True",5,2,2.65396094322,1.15286898613,0.902760982513,"Azul",NA,"pocos","senal","4 AS",0,2,0,"0","0","0","0","0","0","0","0","1","0","1","0"
"8",8,7,69,"n","False",2,6,"False",0,"False",2,"False",0,"True",6,2,3.05444598198,1.55341100693,1.2036049366,"Verde",NA,"pocos","senal","4 AS",0,2,0,"0","0","0","0","0","0","0","0","1","0","1","0"
"9",9,8,41,"n","False",2,7,"False",0,"False",2,"False",0,"True",7,1,2.34186410904,0.841430902481,0.702028036118,"Purpura",NA,"pocos","senal","4 AS",0,2,0,"0","0","0","0","0","0","0","0","0","0","1","0"
"10",10,9,221,"n","True",3,7,"False",0,"True",3,"False",0,"False",7,2,2.85320615768,1.35208320618,1.00238013268,"Azul",NA,"pocos","ruido","1 AN",0,3,1,"0","0","0","0","0","0","0","0","0","1","0","1"
"11",11,10,174,"n","True",4,7,"False",0,"True",4,"False",0,"False",7,1,2.14785408974,0.647086143494,1.6040828228,"Naranja",NA,"pocos","ruido","1 AN",0,3,1,"0","0","0","0","0","0","0","0","0","0","0","1"
"12",12,11,441,"n","False",4,8,"False",0,"False",4,"False",0,"True",8,1,2.55293512344,1.05184197426,0.802412033081,"Verde",NA,"muchos","senal","3 BS",0,2,0,"0","0","0","0","0","0","0","0","0","0","1","0"
"13",13,12,330,"n","False",4,9,"False",0,"False",4,"False",0,"True",9,2,3.05034208298,1.54920697212,0.802549123764,"Azul",NA,"muchos","senal","3 BS",0,2,0,"0","0","0","0","0","0","0","0","1","0","1","0"
"14",14,13,278,"n","True",5,9,"False",0,"True",5,"False",0,"False",9,2,2.75378513336,1.25262618065,0.501889944077,"Purpura",NA,"pocos","ruido","1 AN",0,3,1,"0","0","0","0","0","0","0","0","0","1","0","1"
"15",15,14,409,"n","False",5,10,"False",0,"False",5,"False",0,"True",10,2,2.55031895638,1.04917001724,1.00237512589,"Purpura",NA,"muchos","senal","3 BS",0,2,0,"0","0","0","0","0","0","0","0","1","0","1","0"
"16",16,15,71,"n","False",5,11,"False",0,"False",5,"False",0,"True",11,2,2.75482487679,1.25374603271,0.802473068237,"Azul",NA,"pocos","senal","4 AS",0,2,0,"0","0","0","0","0","0","0","0","1","0","1","0"
