"","X.1","Ensayo","Estimulo","Respuesta","Correcto","Aciertos","Errores","Hits","ContadorH","Rechazos","ContadorR","Falsas.alarmas","ContadorF","Omisiones","ContadorM","Confidence","RTime1","RTime1b","RTime2","Color","X","facilidad","senal","tipo","choice","outcome","Exito","HR6","FR6","HR5","FR5","HR4","FR4","HR3","FR3","HR2","FR2","HR1","FR1"
"174",174,173,426,"n","False",110,64,"False",51,"False",59,"False",30,"True",34,1,1.64659500122,0.145533084869,0.401079893112,"Purpura",NA,"muchos","senal","3 BS",0,2,0,"0","0","0","0","0","0","0","0","0","0","1","0"
"175",175,174,59,"s","True",111,64,"True",52,"False",59,"False",30,"False",34,6,2.35328698158,0.852759122849,0.401002883911,"Naranja",NA,"pocos","senal","4 AS",1,4,1,"1","0","1","0","1","0","1","0","1","0","1","0"
"176",176,175,82,"n","False",111,65,"False",52,"False",59,"False",30,"True",35,2,3.54468512535,2.04364013672,0.200612068176,"Verde",NA,"pocos","senal","4 AS",0,2,0,"0","0","0","0","0","0","0","0","1","0","1","0"
"177",177,176,94,"s","True",112,65,"True",53,"False",59,"False",30,"False",35,5,2.15416193008,0.653034925461,0.300854206085,"Naranja",NA,"pocos","senal","4 AS",1,4,1,"0","0","1","0","1","0","1","0","1","0","1","0"
"178",178,177,71,"s","True",113,65,"True",54,"False",59,"False",30,"False",35,6,2.35388302803,0.852725982666,0.601474046707,"Azul",NA,"pocos","senal","4 AS",1,4,1,"1","0","1","0","1","0","1","0","1","0","1","0"
"179",179,178,369,"n","False",113,66,"False",54,"False",59,"False",30,"True",36,1,2.65053987503,1.14938497543,0.200619935989,"Naranja",NA,"muchos","senal","3 BS",0,2,0,"0","0","0","0","0","0","0","0","0","0","1","0"
"180",180,179,148,"s","True",114,66,"True",55,"False",59,"False",30,"False",36,6,2.75436401367,1.25325202942,0.200675010681,"Azul",NA,"pocos","senal","4 AS",1,4,1,"1","0","1","0","1","0","1","0","1","0","1","0"
"181",181,180,222,"s","False",114,67,"False",55,"False",59,"True",31,"False",36,5,2.8547410965,1.35356211662,0.200694084167,"Naranja",NA,"pocos","ruido","1 AN",1,1,0,"0","0","0","1","0","1","0","1","0","1","0","1"
"182",182,181,171,"s","False",114,68,"False",55,"False",59,"True",32,"False",36,6,2.54971408844,1.04861998558,0.200513124466,"Naranja",NA,"pocos","ruido","1 AN",1,1,0,"0","1","0","1","0","1","0","1","0","1","0","1"
"183",183,182,124,"s","True",115,68,"True",56,"False",59,"False",32,"False",36,6,2.05262088776,0.551561832428,0.200590133667,"Verde",NA,"pocos","senal","4 AS",1,4,1,"1","0","1","0","1","0","1","0","1","0","1","0"
