Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, 
0,43,n,True,1,0,
1,29,s,True,2,0,
2,12,n,True,3,0,
3,34,n,False,3,1,
4,26,s,True,4,1,
