Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, 
0,34,s,True,1,0,
1,36,n,False,1,1,
2,9,s,False,1,2,
3,14,s,True,2,2,
4,43,s,False,2,3,
5,7,n,True,3,3,
6,38,n,True,4,3,
7,37,n,True,5,3,
8,12,n,True,6,3,
9,2,n,True,7,3,
10,35,n,False,7,4,
11,8,n,True,8,4,
12,5,n,True,9,4,
13,43,n,True,10,4,
