Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, 
0,4,n,True,1,0,
1,25,n,True,2,0,
2,2,s,False,2,1,
3,6,n,True,3,1,
4,29,n,True,4,1,
0,14,s,True,0,
1,23,s,True,1,
2,5,n,True,1,
3,15,s,True,1,
4,15,s,True,1,
