Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, 
0,36,s,True,1,0,
1,44,n,True,2,0,
2,6,n,True,3,0,
3,25,s,True,4,0,
4,37,s,False,4,1,
5,44,s,False,4,2,
6,15,s,True,5,2,
7,47,s,False,5,3,
8,44,s,False,5,4,
9,31,s,True,6,4,
10,38,s,False,6,5,
11,45,s,False,6,6,
12,22,s,True,7,6,
