Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, 
0,6,n,True,1,0,
1,24,n,True,2,0,
2,17,s,True,3,0,
3,27,n,True,4,0,
4,1,n,True,5,0,
0,13,s,True,1,0,
1,12,n,True,2,0,
2,13,s,True,3,0,
3,3,n,True,4,0,
4,6,n,True,5,0,
