Ensayo, Estimulo, Respuesta 
0,14,n,
1,11,n,
2,9,n,
3,13,n,
4,21,n,
5,16,n,
6,8,n,
7,14,n,
8,26,n,
9,7,n,
10,26,n,
11,12,n,
12,20,n,
13,11,n,
14,5,n,
15,30,n,
16,8,n,
17,27,n,
18,12,n,
19,26,n,
20,3,n,
21,14,n,
22,6,n,
23,24,n,
24,19,n,
25,12,n,
26,21,n,
27,26,n,
28,23,n,
29,18,n,
