Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, Confidence, RTime1, RTime1b, RTime2, Color, 
52,221,n,True,29,24,False,11,True,18,False,9,False,15,2,4.258524179,2.757340193,0.401077986,Azul,
53,575,n,True,30,24,False,11,True,19,False,9,False,15,1,2.553079128,1.052370071,0.501302004,Naranja,
54,332,n,False,30,25,False,11,False,19,False,9,True,16,1,2.849833965,1.348791838,0.601685047,Purpura,
55,361,n,False,30,26,False,11,False,19,False,9,True,17,3,3.952643156,2.451566935,0.902323008,Purpura,
56,599,n,True,31,26,False,11,True,20,False,9,False,17,1,2.850366831,1.349272013,0.60148406,Purpura,
57,366,n,False,31,27,False,11,False,20,False,9,True,18,1,3.053859949,1.553539038,0.401174068,Naranja,
58,458,s,True,32,27,True,12,False,20,False,9,False,18,6,2.7513659,1.250307083,0.501641035,Purpura,
59,318,n,True,33,27,False,12,True,21,False,9,False,18,1,1.852195024,0.351106882,0.501353025,Naranja,
60,193,s,False,33,28,False,12,False,21,True,10,False,18,5,3.455921173,1.954713106,0.300858021,Naranja,
61,409,n,False,33,29,False,12,False,21,False,10,True,19,1,3.352074862,1.850993872,1.30308795,Purpura,
62,287,n,True,34,29,False,12,True,22,False,10,False,19,1,3.054775953,1.5537889,0.501208067,Verde,
63,1,s,True,35,29,True,13,False,22,False,10,False,19,5,3.756735086,2.255619049,0.90219593,Naranja,
64,330,n,False,35,30,False,13,False,22,False,10,True,20,1,2.549021959,1.047872067,0.300971031,Azul,
65,342,s,True,36,30,True,14,False,22,False,10,False,20,6,3.452315807,1.951218128,0.200540066,Purpura,
66,323,n,False,36,31,False,14,False,22,False,10,True,21,1,2.85027194,1.349144936,0.300838947,Azul,
67,608,n,True,37,31,False,14,True,23,False,10,False,21,1,2.650854111,1.149803877,0.801770926,Verde,
68,414,s,True,38,31,True,15,False,23,False,10,False,21,4,2.649090052,1.147971153,0.501726866,Purpura,
69,638,n,True,39,31,False,15,True,24,False,10,False,21,1,2.649576902,1.148905993,0.501240015,Verde,
70,559,n,True,40,31,False,15,True,25,False,10,False,21,1,3.049681902,1.548529863,0.200469971,Naranja,
71,486,s,False,40,32,False,15,False,25,True,11,False,21,4,2.649584055,1.148485184,0.702469826,Verde,
72,568,n,True,41,32,False,15,True,26,False,11,False,21,1,2.249788046,0.748656988,0.401185036,Azul,
73,258,s,False,41,33,False,15,False,26,True,12,False,21,6,3.455933809,1.954792976,0.301007032,Verde,
74,297,n,True,42,33,False,15,True,27,False,12,False,21,1,2.942214012,1.441112995,0.501526117,Purpura,
75,453,s,True,43,33,True,16,False,27,False,12,False,21,4,2.648897886,1.147747993,0.401643991,Naranja,
76,502,n,True,44,33,False,16,True,28,False,12,False,21,1,2.849923134,1.34880805,0.601570129,Verde,
77,463,s,True,45,33,True,17,False,28,False,12,False,21,5,4.554479122,3.05339098,0.401168108,Naranja,
78,634,s,False,45,34,False,17,False,28,True,13,False,21,5,3.254473925,1.753931046,0.501321077,Purpura,
79,614,n,True,46,34,False,17,True,29,False,13,False,21,1,3.150691986,1.649564981,1.303310871,Verde,
80,154,n,False,46,35,False,17,False,29,False,13,True,22,1,2.554321766,1.053213835,0.802130938,Azul,
81,468,s,True,47,35,True,18,False,29,False,13,False,22,6,2.549288034,1.048117876,0.40116787,Purpura,
82,547,s,False,47,36,False,18,False,29,True,14,False,22,6,2.550287008,1.049239874,0.301079035,Verde,
83,202,s,False,47,37,False,18,False,29,True,15,False,22,6,2.740317106,1.239202023,0.301050186,Azul,
84,314,n,True,48,37,False,18,True,30,False,15,False,22,1,2.254507065,0.753399134,0.501397848,Azul,
85,555,n,True,49,37,False,18,True,31,False,15,False,22,2,2.849838018,1.348662138,0.501933813,Azul,
86,68,n,False,49,38,False,18,False,31,False,15,True,23,3,3.757136106,2.256047964,0.401378155,Azul,
87,141,s,True,50,38,True,19,False,31,False,15,False,23,5,2.950161219,1.448955059,0.902359962,Azul,
88,538,s,False,50,39,False,19,False,31,True,16,False,23,6,2.951112032,1.450522184,5.112298965,Purpura,
89,285,n,True,51,39,False,19,True,32,False,16,False,23,1,3.857950926,2.356843948,2.004954815,Azul,
90,106,n,False,51,40,False,19,False,32,False,16,True,24,1,3.154542208,1.653338194,1.002653122,Azul,
91,250,s,False,51,41,False,19,False,32,True,17,False,24,4,3.244456053,1.744195938,0.902225018,Azul,
92,317,n,True,52,41,False,19,True,33,False,17,False,24,1,2.352065086,0.850870132,0.401129007,Azul,
93,408,n,False,52,42,False,19,False,33,False,17,True,25,2,3.343475103,1.842720032,0.802092075,Verde,
94,611,n,True,53,42,False,19,True,34,False,17,False,25,1,2.449522018,0.94839716,1.303233862,Verde,
95,605,n,True,54,42,False,19,True,35,False,17,False,25,1,3.551378965,2.050317049,0.401554108,Purpura,
96,448,s,True,55,42,True,20,False,35,False,17,False,25,6,2.650553226,1.149465084,0.30132103,Verde,
97,37,s,True,56,42,True,21,False,35,False,17,False,25,6,3.155189037,1.654119015,0.401566982,Verde,
98,88,s,True,57,42,True,22,False,35,False,17,False,25,6,4.045623064,2.544531107,0.40099287,Naranja,
99,424,n,False,57,43,False,22,False,35,False,17,True,26,2,3.053714991,1.553184032,0.200646877,Azul,
100,629,n,True,58,43,False,22,True,36,False,17,False,26,1,2.850341797,1.349112034,0.200697899,Naranja,
101,561,n,True,59,43,False,22,True,37,False,17,False,26,3,3.54434514,2.043081045,0.400923014,Azul,
102,589,n,True,60,43,False,22,True,38,False,17,False,26,1,3.757552862,2.256486893,0.401042938,Purpura,
103,625,n,True,61,43,False,22,True,39,False,17,False,26,3,3.2507689,1.749637842,0.201081991,Azul,
104,401,n,False,61,44,False,22,False,39,False,17,True,27,1,3.852215052,2.351122856,0.301021099,Naranja,
105,34,s,True,62,44,True,23,False,39,False,17,False,27,6,2.353786945,0.852641106,0.401151896,Verde,
106,498,s,False,62,45,False,23,False,39,True,18,False,27,6,2.149352074,0.648271084,0.300906897,Naranja,
107,158,s,True,63,45,True,24,False,39,False,18,False,27,6,2.854628801,1.353471041,0.301275969,Naranja,
108,249,n,True,64,45,False,24,True,40,False,18,False,27,1,2.253245831,0.752108812,0.200576782,Purpura,
109,421,s,True,65,45,True,25,False,40,False,18,False,27,6,2.752254963,1.251933813,0.300920963,Purpura,
110,180,s,False,65,46,False,25,False,40,True,19,False,27,6,3.444198847,1.94312191,0.401033163,Azul,
111,532,s,False,65,47,False,25,False,40,True,20,False,27,6,3.350270033,1.849174976,0.30083704,Purpura,
112,378,s,True,66,47,True,26,False,40,False,20,False,27,6,2.248349905,0.747308969,0.10176301,Azul,
113,594,s,False,66,48,False,26,False,40,True,21,False,27,6,2.950048923,1.44897294,0.300824881,Naranja,
114,247,n,True,67,48,False,26,True,41,False,21,False,27,1,3.150124073,1.649043083,0.200547934,Azul,
115,445,s,True,68,48,True,27,False,41,False,21,False,27,6,2.34889102,0.847769976,0.300919056,Purpura,
116,65,s,True,69,48,True,28,False,41,False,21,False,27,6,2.754237175,1.253053188,0.200726032,Naranja,
117,66,s,True,70,48,True,29,False,41,False,21,False,27,6,2.654129982,1.152963877,0.301280022,Verde,
118,254,n,True,71,48,False,29,True,42,False,21,False,27,1,2.154297829,0.65324378,0.30134201,Naranja,
119,128,s,True,72,48,True,30,False,42,False,21,False,27,5,2.853547096,1.352414131,0.200569868,Purpura,
120,312,n,True,73,48,False,30,True,43,False,21,False,27,1,2.448820114,0.947710037,0.101791859,Verde,
121,370,s,True,74,48,True,31,False,43,False,21,False,27,5,3.050797939,1.549736023,0.20085001,Verde,
122,615,n,True,75,48,False,31,True,44,False,21,False,27,1,2.150775909,0.650166988,0.200700998,Purpura,
123,553,s,False,75,49,False,31,False,44,True,22,False,27,6,2.649954081,1.148885012,0.200586796,Verde,
124,101,s,True,76,49,True,32,False,44,False,22,False,27,6,2.453702927,0.952538013,0.200592995,Verde,
125,432,s,True,77,49,True,33,False,44,False,22,False,27,6,2.048063993,0.546866179,0.200658083,Verde,
126,343,s,True,78,49,True,34,False,44,False,22,False,27,6,2.652281046,1.151391029,0.200628996,Naranja,
127,500,s,False,78,50,False,34,False,44,True,23,False,27,6,1.847187042,0.346068144,0.200855017,Purpura,
128,541,n,True,79,50,False,34,True,45,False,23,False,27,1,1.951655865,0.450775862,0.200702906,Purpura,
129,119,s,True,80,50,True,35,False,45,False,23,False,27,5,2.352165937,0.851677895,0.200676918,Azul,
130,562,s,False,80,51,False,35,False,45,True,24,False,27,6,2.248422146,0.747380018,0.300868034,Naranja,
131,606,n,True,81,51,False,35,True,46,False,24,False,27,1,2.051482916,0.550883055,0.200788975,Azul,
132,201,s,False,81,52,False,35,False,46,True,25,False,27,6,2.343325853,0.842263937,0.200676918,Purpura,
133,102,s,True,82,52,True,36,False,46,False,25,False,27,6,2.052778959,0.552250147,0.20055604,Purpura,
134,600,n,True,83,52,False,36,True,47,False,25,False,27,1,2.047861099,0.54674387,0.101699829,Azul,
135,295,n,True,84,52,False,36,True,48,False,25,False,27,1,1.651523113,0.150359154,0.300922871,Azul,
136,466,n,False,84,53,False,36,False,48,False,25,True,28,2,2.853658199,1.35264802,0.101829052,Naranja,
137,298,n,True,85,53,False,36,True,49,False,25,False,28,1,1.947757006,0.446598053,0.201189041,Azul,
138,48,s,True,86,53,True,37,False,49,False,25,False,28,6,2.047845125,0.546751022,0.200670004,Purpura,
139,496,n,True,87,53,False,37,True,50,False,25,False,28,1,2.550467968,1.049378872,0.201246977,Verde,
140,109,n,False,87,54,False,37,False,50,False,25,True,29,3,3.243892193,1.742722034,0.902587175,Azul,
141,341,s,True,88,54,True,38,False,50,False,25,False,29,5,2.449658871,0.948532104,0.401211977,Verde,
142,569,s,False,88,55,False,38,False,50,True,26,False,29,6,1.951711893,0.451264858,0.301270962,Verde,
143,581,n,True,89,55,False,38,True,51,False,26,False,29,1,2.048557043,0.547486067,0.401052952,Naranja,
144,6,s,True,90,55,True,39,False,51,False,26,False,29,6,1.652969837,0.151836157,0.401032925,Purpura,
145,467,s,True,91,55,True,40,False,51,False,26,False,29,5,2.649166107,1.147996187,0.300844908,Verde,
146,23,s,True,92,55,True,41,False,51,False,26,False,29,5,3.044508934,1.543302059,0.300732136,Azul,
147,138,s,True,93,55,True,42,False,51,False,26,False,29,6,1.847462893,0.347186089,0.401727915,Azul,
148,570,s,False,93,56,False,42,False,51,True,27,False,29,6,2.649326086,1.148214102,0.200641155,Purpura,
149,165,n,True,94,56,False,42,True,52,False,27,False,29,1,2.554767132,1.053598166,0.201066971,Verde,
150,273,s,False,94,57,False,42,False,52,True,28,False,29,6,2.05290103,0.551717997,0.300810099,Naranja,
151,489,s,False,94,58,False,42,False,52,True,29,False,29,6,1.947721004,0.446598053,0.501536846,Verde,
152,542,n,True,95,58,False,42,True,53,False,29,False,29,1,1.954977989,0.453821898,0.300760984,Azul,
153,433,s,True,96,58,True,43,False,53,False,29,False,29,5,2.348808765,0.847767115,0.300966024,Azul,
154,413,s,True,97,58,True,44,False,53,False,29,False,29,6,2.249627113,0.74853301,0.300945044,Naranja,
155,477,n,False,97,59,False,44,False,53,False,29,True,30,3,2.248377085,0.747272015,0.30143404,Purpura,
156,121,s,True,98,59,True,45,False,53,False,29,False,30,5,2.554775,1.053591013,0.701632977,Purpura,
157,264,n,True,99,59,False,45,True,54,False,29,False,30,1,2.253383875,0.75226903,0.300744057,Naranja,
158,16,s,True,100,59,True,46,False,54,False,29,False,30,5,2.95046711,1.449246168,0.301010132,Purpura,
159,15,s,True,101,59,True,47,False,54,False,29,False,30,6,1.841255188,0.340193987,0.501594067,Verde,
160,269,n,True,102,59,False,47,True,55,False,29,False,30,1,2.047745943,0.546648979,0.401256084,Azul,
161,592,n,True,103,59,False,47,True,56,False,29,False,30,1,2.248286009,0.74707818,0.401148081,Verde,
162,420,n,False,103,60,False,47,False,56,False,29,True,31,1,2.249397993,0.748263836,1.202975035,Verde,
163,351,s,True,104,60,True,48,False,56,False,29,False,31,5,3.154007912,1.653307915,0.300926208,Purpura,
164,315,n,True,105,60,False,48,True,57,False,29,False,31,1,1.75186801,0.250734091,0.301378965,Verde,
165,454,s,True,106,60,True,49,False,57,False,29,False,31,6,3.050241947,1.549960852,0.300978899,Verde,
166,457,s,True,107,60,True,50,False,57,False,29,False,31,6,2.549443007,1.048330069,0.301101923,Verde,
167,195,n,True,108,60,False,50,True,58,False,29,False,31,1,2.353257179,0.852093935,0.401548147,Purpura,
168,231,n,True,109,60,False,50,True,59,False,29,False,31,1,1.652981997,0.151796103,0.401165962,Azul,
169,33,n,False,109,61,False,50,False,59,False,29,True,32,2,1.651606083,0.15042901,1.403666019,Naranja,
170,244,s,False,109,62,False,50,False,59,True,30,False,32,6,3.053827047,1.552744865,0.301299095,Azul,
171,425,n,False,109,63,False,50,False,59,False,30,True,33,2,1.646713972,0.145543098,2.505884886,Verde,
172,327,s,True,110,63,True,51,False,59,False,30,False,33,5,3.254529953,1.754022837,0.401439905,Naranja,
173,426,n,False,110,64,False,51,False,59,False,30,True,34,1,1.646595001,0.145533085,0.401079893,Purpura,
174,59,s,True,111,64,True,52,False,59,False,30,False,34,6,2.353286982,0.852759123,0.401002884,Naranja,
175,82,n,False,111,65,False,52,False,59,False,30,True,35,2,3.544685125,2.043640137,0.200612068,Verde,
176,94,s,True,112,65,True,53,False,59,False,30,False,35,5,2.15416193,0.653034925,0.300854206,Naranja,
177,71,s,True,113,65,True,54,False,59,False,30,False,35,6,2.353883028,0.852725983,0.601474047,Azul,
178,369,n,False,113,66,False,54,False,59,False,30,True,36,1,2.650539875,1.149384975,0.200619936,Naranja,
179,148,s,True,114,66,True,55,False,59,False,30,False,36,6,2.754364014,1.253252029,0.200675011,Azul,
180,222,s,False,114,67,False,55,False,59,True,31,False,36,5,2.854741097,1.353562117,0.200694084,Naranja,
181,171,s,False,114,68,False,55,False,59,True,32,False,36,6,2.549714088,1.048619986,0.200513124,Naranja,
182,124,s,True,115,68,True,56,False,59,False,32,False,36,6,2.052620888,0.551561832,0.200590134,Verde,
183,123,s,True,116,68,True,57,False,59,False,32,False,36,6,1.852111816,0.351069927,0.201124907,Naranja,
184,321,n,False,116,69,False,57,False,59,False,32,True,37,2,2.849977016,1.349578142,0.200603008,Naranja,
185,602,s,False,116,70,False,57,False,59,True,33,False,37,6,1.650913,0.150454998,0.200710058,Purpura,
186,279,s,False,116,71,False,57,False,59,True,34,False,37,4,2.754189968,1.253072023,0.300909996,Azul,
187,523,s,False,116,72,False,57,False,59,True,35,False,37,6,2.253147841,0.75193882,0.300771952,Azul,
188,72,s,True,117,72,True,58,False,59,False,35,False,37,6,2.253149986,0.752089024,0.200612068,Naranja,
189,462,n,False,117,73,False,58,False,59,False,35,True,38,1,2.749593019,1.248489141,0.300942183,Azul,
190,22,s,True,118,73,True,59,False,59,False,35,False,38,6,2.249735832,0.748688936,0.300961018,Purpura,
191,443,n,False,118,74,False,59,False,59,False,35,True,39,2,2.650079966,1.148987055,0.301492929,Azul,
192,368,s,True,119,74,True,60,False,59,False,35,False,39,6,2.148084879,0.646984816,0.20055604,Azul,
193,580,s,False,119,75,False,60,False,59,True,36,False,39,6,1.951555967,0.45087409,0.301016092,Purpura,
194,17,s,True,120,75,True,61,False,59,False,36,False,39,6,1.646934986,0.14583993,0.601666927,Naranja,
195,14,n,False,120,76,False,61,False,59,False,36,True,40,2,2.249360085,0.748220921,0.201271057,Naranja,
196,524,s,False,120,77,False,61,False,59,True,37,False,40,6,2.649113894,1.14803791,0.200700045,Naranja,
197,172,s,False,120,78,False,61,False,59,True,38,False,40,6,1.64712882,0.146081924,0.601728916,Verde,
198,474,n,False,120,79,False,61,False,59,False,38,True,41,2,2.552789927,1.052191019,0.701924086,Purpura,
199,226,s,False,120,80,False,61,False,59,True,39,False,41,5,2.955215931,1.454105139,0.501460791,Verde,
200,406,n,False,120,81,False,61,False,59,False,39,True,42,2,3.251015186,1.749874115,0.902467012,Purpura,
201,551,n,True,121,81,False,61,True,60,False,39,False,42,1,2.352318048,0.852033138,1.904735088,Purpura,
202,375,n,False,121,82,False,61,False,60,False,39,True,43,1,1.647341013,0.14615202,0.601366043,Naranja,
203,29,s,True,122,82,True,62,False,60,False,39,False,43,6,2.152637005,0.651471853,0.401042938,Azul,
204,107,s,True,123,82,True,63,False,60,False,39,False,43,6,1.646821022,0.14571619,0.200644016,Naranja,
205,233,s,False,123,83,False,63,False,60,True,40,False,43,6,1.640583992,0.139465094,0.701856136,Purpura,
206,129,s,True,124,83,True,64,False,60,False,40,False,43,6,1.651698112,0.150574923,1.002464056,Naranja,
207,99,s,True,125,83,True,65,False,60,False,40,False,43,6,1.65241909,0.151260853,0.40132308,Purpura,
208,132,s,True,126,83,True,66,False,60,False,40,False,43,6,2.252671957,0.751547098,0.401456833,Azul,
209,482,n,True,127,83,False,66,True,61,False,40,False,43,2,1.950968981,0.450590849,0.601763964,Naranja,
210,90,n,False,127,84,False,66,False,61,False,40,True,44,1,1.65049696,0.149303913,0.90237093,Azul,
211,493,n,True,128,84,False,66,True,62,False,40,False,44,1,1.647322178,0.146197081,0.200647831,Purpura,
212,631,n,True,129,84,False,66,True,63,False,40,False,44,1,1.651348114,0.150310993,0.701746941,Purpura,
213,218,s,False,129,85,False,66,False,63,True,41,False,44,6,3.053838968,1.552721024,0.300973892,Azul,
214,438,n,False,129,86,False,66,False,63,False,41,True,45,2,2.148185015,0.647143841,0.401158094,Verde,
215,326,n,False,129,87,False,66,False,63,False,41,True,46,3,3.355145931,1.854613066,0.501442194,Purpura,
216,501,n,True,130,87,False,66,True,64,False,41,False,46,1,1.847342014,0.346286058,0.300961018,Naranja,
217,579,s,False,130,88,False,66,False,64,True,42,False,46,6,2.048521996,0.54815197,0.401022911,Verde,
218,26,s,True,131,88,True,67,False,64,False,42,False,46,5,2.955818892,1.455224991,0.401561022,Azul,
219,391,s,True,132,88,True,68,False,64,False,42,False,46,6,1.650599003,0.150022984,0.300899982,Naranja,
220,31,s,True,133,88,True,69,False,64,False,42,False,46,5,2.253414869,0.752283812,0.701808929,Verde,
221,79,s,True,134,88,True,70,False,64,False,42,False,46,6,1.846990824,0.346296787,0.902052879,Verde,
222,194,s,False,134,89,False,70,False,64,True,43,False,46,6,1.652153969,0.151036024,0.701825857,Verde,
223,86,n,False,134,90,False,70,False,64,False,43,True,47,2,1.640207052,0.139014959,1.102838993,Purpura,
224,586,s,False,134,91,False,70,False,64,True,44,False,47,6,2.148477077,0.647666931,0.601982832,Purpura,
225,224,n,True,135,91,False,70,True,65,False,44,False,47,1,1.651521921,0.150302887,0.100372076,Purpura,
226,57,s,True,136,91,True,71,False,65,False,44,False,47,6,1.853150129,0.351955891,0.802052021,Purpura,
227,7,s,True,137,91,True,72,False,65,False,44,False,47,6,2.452451944,0.951363802,0.601454973,Azul,
228,423,n,False,137,92,False,72,False,65,False,44,True,48,2,1.951178074,0.450676918,0.601607084,Purpura,
229,236,s,False,137,93,False,72,False,65,True,45,False,48,6,1.640873194,0.139685154,0.40113306,Verde,
230,618,s,False,137,94,False,72,False,65,True,46,False,48,5,2.850059032,1.348852158,0.701778889,Purpura,
231,393,n,False,137,95,False,72,False,65,False,46,True,49,1,1.74782896,0.246690989,0.601791859,Purpura,
232,166,n,True,138,95,False,72,True,66,False,46,False,49,1,1.651648998,0.15109992,0.401180029,Purpura,
233,97,s,True,139,95,True,73,False,66,False,46,False,49,5,1.852211952,0.351318836,0.701932907,Naranja,
234,299,n,True,140,95,False,73,True,67,False,46,False,49,1,1.74112606,0.240033865,0.40109396,Naranja,
235,552,n,True,141,95,False,73,True,68,False,46,False,49,1,1.646690845,0.14556694,0.10036993,Azul,
236,60,s,True,142,95,True,74,False,68,False,46,False,49,5,2.655330896,1.154200077,0.602250099,Verde,
237,160,s,True,143,95,True,75,False,68,False,46,False,49,6,1.751690865,0.251453876,0.701924801,Purpura,
238,35,s,True,144,95,True,76,False,68,False,46,False,49,6,1.651597977,0.150503874,0.401213884,Purpura,
239,186,s,False,144,96,False,76,False,68,True,47,False,49,6,2.254224062,0.75307107,0.501726151,Azul,
240,382,n,False,144,97,False,76,False,68,False,47,True,50,1,2.15207696,0.651429892,0.401631117,Naranja,
241,507,s,False,144,98,False,76,False,68,True,48,False,50,6,2.248072863,0.747015953,0.501429081,Azul,
242,487,n,True,145,98,False,76,True,69,False,48,False,50,1,3.050779104,1.549693108,0.401141167,Purpura,
243,410,n,False,145,99,False,76,False,69,False,48,True,51,1,2.251738071,0.751127958,0.300884008,Azul,
244,274,n,True,146,99,False,76,True,70,False,48,False,51,1,2.353238106,0.852053165,0.301292181,Verde,
245,308,n,True,147,99,False,76,True,71,False,48,False,51,1,1.948760033,0.447640896,0.301576853,Naranja,
246,450,s,True,148,99,True,77,False,71,False,48,False,51,5,1.749824047,0.24931097,0.701757908,Naranja,
247,429,s,True,149,99,True,78,False,71,False,48,False,51,6,1.847108126,0.345916986,0.501421928,Purpura,
248,511,n,True,150,99,False,78,True,72,False,48,False,51,1,1.646648884,0.145550966,0.300772905,Naranja,
249,513,s,False,150,100,False,78,False,72,True,49,False,51,6,1.750690937,0.250061035,0.401004076,Azul,
250,383,s,True,151,100,True,79,False,72,False,49,False,51,6,1.650866985,0.150285006,0.200565815,Purpura,
251,267,s,False,151,101,False,79,False,72,True,50,False,51,6,1.651076078,0.149885893,0.200647116,Naranja,
252,87,n,False,151,102,False,79,False,72,False,50,True,52,1,1.639872074,0.138792992,2.706575871,Azul,
253,335,n,False,151,103,False,79,False,72,False,50,True,53,1,2.248558998,0.747375011,0.30100894,Purpura,
254,251,s,False,151,104,False,79,False,72,True,51,False,53,5,2.453682899,0.95343399,1.603976011,Naranja,
255,189,n,True,152,104,False,79,True,73,False,51,False,53,1,2.253368139,0.752295017,0.301002026,Azul,
256,276,n,True,153,104,False,79,True,74,False,51,False,53,2,3.457121134,1.955914021,0.401196957,Azul,
