Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, Confidence, RTime1, RTime1b, RTime2, Color, 
0,587,n,True,1,0,False,0,True,1,False,0,False,0,2,7.453074932,5.951980829,9.122023106,Azul,
1,175,n,True,2,0,False,0,True,2,False,0,False,0,1,9.76695919,8.265792131,6.916414976,Verde,
2,540,n,True,3,0,False,0,True,3,False,0,False,0,1,2.850803852,1.349644899,1.704690933,Naranja,
3,394,n,False,3,1,False,0,False,3,False,0,True,1,2,3.654247999,2.153552055,2.205974102,Azul,
4,212,s,False,3,2,False,0,False,3,True,1,False,1,5,4.344985962,2.843878984,2.506349087,Azul,
5,303,n,True,4,2,False,0,True,4,False,1,False,1,1,3.458293915,1.957216024,2.706799984,Purpura,
6,243,n,True,5,2,False,0,True,5,False,1,False,1,1,2.151699066,0.650531054,2.506082058,Purpura,
7,9,s,True,6,2,True,1,False,5,False,1,False,1,6,3.444159985,1.943130016,2.606193066,Purpura,
8,114,s,True,7,2,True,2,False,5,False,1,False,1,6,3.643240929,2.143095016,1.604074955,Verde,
9,91,s,True,8,2,True,3,False,5,False,1,False,1,6,2.753998041,1.25283289,1.503498077,Naranja,
10,348,n,False,8,3,False,3,False,5,False,1,True,2,2,3.349864006,1.848689795,1.403425217,Purpura,
11,544,n,True,9,3,False,3,True,6,False,1,False,2,1,2.248912096,0.747786045,2.2057271,Verde,
12,211,s,False,9,4,False,3,False,6,True,2,False,2,6,2.441101789,0.939918041,4.611878157,Purpura,
13,25,s,True,10,4,True,4,False,6,False,2,False,2,6,4.258624077,2.757485151,2.70706892,Purpura,
14,350,n,False,10,5,False,4,False,6,False,2,True,3,2,2.750622034,1.249746084,0.902231932,Naranja,
15,325,n,False,10,6,False,4,False,6,False,2,True,4,1,2.953937054,1.452769995,0.70206809,Verde,
16,187,s,False,10,7,False,4,False,6,True,3,False,4,6,2.453353167,0.952255011,0.602035046,Naranja,
17,305,n,True,11,7,False,4,True,7,False,3,False,4,2,3.154791117,1.653678179,3.006953955,Naranja,
18,359,n,False,11,8,False,4,False,7,False,3,True,5,1,2.14931798,0.648182154,2.706490994,Naranja,
19,329,n,False,11,9,False,4,False,7,False,3,True,6,1,2.448863983,0.94772315,1.303320169,Purpura,
20,13,s,True,12,9,True,5,False,7,False,3,False,6,6,5.449673891,3.948572874,2.10584712,Azul,
21,151,n,False,12,10,False,5,False,7,False,3,True,7,3,7.36595583,5.864895821,0.5015769,Azul,
22,627,s,False,12,11,False,5,False,7,True,4,False,7,4,3.952383041,2.451719046,3.308312893,Verde,
23,531,s,False,12,12,False,5,False,7,True,5,False,7,6,3.551369905,2.050175905,1.604068041,Verde,
24,143,s,True,13,12,True,6,False,7,False,5,False,7,6,2.749217987,1.248096943,1.303144217,Verde,
25,108,n,False,13,13,False,6,False,7,False,5,True,8,2,2.742560148,1.241498947,1.203744888,Verde,
26,85,n,False,13,14,False,6,False,7,False,5,True,9,2,3.150724888,1.650174856,0.802047968,Verde,
27,12,n,False,13,15,False,6,False,7,False,5,True,10,3,3.252753019,1.751565933,1.504060984,Verde,
28,208,n,True,14,15,False,6,True,8,False,5,False,10,1,2.649524927,1.148427963,1.002644062,Purpura,
29,328,n,False,14,16,False,6,False,8,False,5,True,11,2,3.054173946,1.55360508,1.503752947,Verde,
30,261,s,False,14,17,False,6,False,8,True,6,False,11,6,3.15616703,1.654923916,1.203073978,Verde,
31,262,n,True,15,17,False,6,True,9,False,6,False,11,1,3.556768894,2.055572987,0.601507902,Purpura,
32,521,n,True,16,17,False,6,True,10,False,6,False,11,3,3.051513195,1.550384045,1.603957891,Verde,
33,263,n,True,17,17,False,6,True,11,False,6,False,11,1,2.855314016,1.354161978,1.804675102,Azul,
34,5,s,True,18,17,True,7,False,11,False,6,False,11,6,2.75476408,1.253542185,0.601523161,Verde,
35,374,n,False,18,18,False,7,False,11,False,6,True,12,3,4.453964949,2.952842951,0.501843214,Purpura,
36,210,n,True,19,18,False,7,True,12,False,6,False,12,2,3.251415014,1.750240088,0.601562977,Verde,
37,265,s,False,19,19,False,7,False,12,True,7,False,12,5,4.55915904,3.058001995,0.902659893,Purpura,
38,268,n,True,20,19,False,7,True,13,False,7,False,12,3,3.455705881,1.954540968,1.60443306,Verde,
39,612,n,True,21,19,False,7,True,14,False,7,False,12,1,2.852895021,1.35174489,1.503813028,Purpura,
40,131,s,True,22,19,True,8,False,14,False,7,False,12,6,3.256758928,1.755550861,0.501848221,Purpura,
41,476,s,True,23,19,True,9,False,14,False,7,False,12,6,3.652292967,2.151224136,0.50138998,Naranja,
42,290,n,True,24,19,False,9,True,15,False,7,False,12,2,3.255210161,1.754188061,0.101885796,Verde,
43,613,n,True,25,19,False,9,True,16,False,7,False,12,1,3.150230885,1.64910078,1.403868914,Naranja,
44,67,s,True,26,19,True,10,False,16,False,7,False,12,6,3.255951881,1.754860163,1.20275712,Purpura,
45,95,s,True,27,19,True,11,False,16,False,7,False,12,6,3.055343866,1.554213047,0.300945044,Verde,
46,529,s,False,27,20,False,11,False,16,True,8,False,12,6,2.149574995,0.648504972,0.902374029,Azul,
47,376,n,False,27,21,False,11,False,16,False,8,True,13,2,2.749555826,1.248329163,0.501418114,Verde,
48,392,n,False,27,22,False,11,False,16,False,8,True,14,1,3.053953886,1.553617954,0.401086092,Verde,
49,576,n,True,28,22,False,11,True,17,False,8,False,14,3,3.150901079,1.650657177,0.801974058,Verde,
50,499,s,False,28,23,False,11,False,17,True,9,False,14,5,3.251313925,1.750154972,0.601639032,Verde,
51,56,n,False,28,24,False,11,False,17,False,9,True,15,1,1.947804928,0.446693182,1.503719091,Naranja,
