"","X.5","X.4","X.3","X.2","X.1","Ensayo","Estimulo","Comparacion","SignallPosition","Respuesta","Eleccion","OpcionPredicha","RTime1","RTime2","Color","Hits","ContadorH","Rechazos","ContadorR","Falsas.alarmas","ContadorF","Omisiones","ContadorM","X","SignalPosition","SignalPos"
"168",168,168,168,168,168,167,269,"6 AN-BN","None","left","AN",0,1.13451480865,0.133414030075,"Naranja",NA,75,NA,75,NA,35,NA,35,NA,"Right","Right"
"169",169,169,169,169,169,168,195,"5 AS-BS","Both","left","AS",1,1.13487696648,0.13450717926,"Purpura",NA,75,NA,75,NA,35,NA,35,NA,"Left","Left"
"170",170,170,170,170,170,169,122,"2 AS-BN","Left","left","AS",1,1.1344537735,0.133841991425,"Purpura",1,76,1,76,0,35,0,35,NA,"Left","Left"
"171",171,171,171,171,171,170,270,"6 AN-BN","None","right","AN",0,1.13446593285,0.134080886841,"Purpura",NA,76,NA,76,NA,35,NA,35,NA,"Right","Right"
"172",172,172,172,172,172,171,7,"1 AS-AN","Left","right","AN",0,1.13496112823,0.134416103363,"Verde",0,76,0,76,1,36,1,36,NA,"Right","Right"
"173",173,173,173,173,173,172,95,"3 BS-BN","Left","right","BN",0,1.33530807495,0.334759950638,"Azul",0,76,0,76,1,37,1,37,NA,"Left","Left"
"174",174,174,174,174,174,173,4,"1 AS-AN","Right","right","AS",1,1.53541398048,0.534869909286,"Verde",1,77,1,77,0,37,0,37,NA,"Left","Left"
"175",175,175,175,175,175,174,96,"3 BS-BN","Right","right","BS",1,1.33528900146,0.334801197052,"Purpura",1,78,1,78,0,37,0,37,NA,"Right","Right"
"176",176,176,176,176,176,175,281,"6 AN-BN","None","left","AN",0,1.73596000671,0.735432863235,"Naranja",NA,78,NA,78,NA,37,NA,37,NA,"Right","Right"
"177",177,177,177,177,177,176,50,"3 BS-BN","Right","right","BS",1,1.13488507271,0.133749008179,"Purpura",1,79,1,79,0,37,0,37,NA,"Left","Left"
"178",178,178,178,178,178,177,245,"6 AN-BN","None","left","AN",0,2.3383038044,1.33808994293,"Naranja",NA,79,NA,79,NA,37,NA,37,NA,"Left","Left"
"179",179,179,179,179,179,178,194,"5 AS-BS","Both","right","AS",1,1.63330197334,0.632242918015,"Verde",NA,79,NA,79,NA,37,NA,37,NA,"Right","Right"
"180",180,180,180,180,180,179,214,"5 AS-BS","Both","right","AS",1,1.33489203453,0.334395170212,"Verde",NA,79,NA,79,NA,37,NA,37,NA,"Right","Right"
"181",181,181,181,181,181,180,201,"5 AS-BS","Both","right","BS",0,2.33791899681,1.3376250267,"Purpura",NA,79,NA,79,NA,37,NA,37,NA,"Left","Left"
"182",182,182,182,182,182,181,280,"6 AN-BN","None","left","BN",1,1.53567790985,0.535333156586,"Azul",NA,79,NA,79,NA,37,NA,37,NA,"Left","Left"
"183",183,183,183,183,183,182,64,"3 BS-BN","Right","left","BN",0,1.13491797447,0.134280920029,"Naranja",0,79,0,79,1,38,1,38,NA,"Right","Right"
"184",184,184,184,184,184,183,114,"2 AS-BN","Left","left","AS",1,1.13466691971,0.13380408287,"Azul",1,80,1,80,0,38,0,38,NA,"Right","Right"
"185",185,185,185,185,185,184,99,"2 AS-BN","Right","right","AS",1,1.13551497459,0.134932994843,"Naranja",1,81,1,81,0,38,0,38,NA,"Left","Left"
"186",186,186,186,186,186,185,51,"3 BS-BN","Left","right","BN",0,1.23492980003,0.23476600647,"Naranja",0,81,0,81,1,39,1,39,NA,"Left","Left"
"187",187,187,187,187,187,186,62,"3 BS-BN","Right","right","BS",1,1.53593015671,0.535341978073,"Azul",1,82,1,82,0,39,0,39,NA,"Right","Right"
"188",188,188,188,188,188,187,210,"5 AS-BS","Both","right","AS",1,1.13487291336,0.133821964264,"Purpura",NA,82,NA,82,NA,39,NA,39,NA,"Right","Right"
"189",189,189,189,189,189,188,206,"5 AS-BS","Both","right","AS",1,1.13427495956,0.133867025375,"Naranja",NA,82,NA,82,NA,39,NA,39,NA,"Left","Left"
"190",190,190,190,190,190,189,167,"4 BS-AN","Right","left","AN",0,1.33539199829,0.334357976913,"Purpura",0,82,0,82,1,40,1,40,NA,"Left","Left"
"191",191,191,191,191,191,190,20,"1 AS-AN","Right","right","AS",1,1.43533110619,0.434700012207,"Verde",1,83,1,83,0,40,0,40,NA,"Right","Right"
"192",192,192,192,192,192,191,11,"1 AS-AN","Left","right","AN",0,1.13491201401,0.134346008301,"Naranja",0,83,0,83,1,41,1,41,NA,"Right","Right"
"193",193,193,193,193,193,192,28,"1 AS-AN","Right","right","AS",1,1.83625912666,0.835858106613,"Azul",1,84,1,84,0,41,0,41,NA,"Both","Both"
"194",194,194,194,194,194,193,1,"1 AS-AN","Left","left","AS",1,2.03712105751,1.03611397743,"Azul",1,85,1,85,0,41,0,41,NA,"Both","Both"
"195",195,195,195,195,195,194,186,"4 BS-AN","Left","left","BS",1,1.63620400429,0.635119915009,"Purpura",1,86,1,86,0,41,0,41,NA,"Both","Both"
"196",196,196,196,196,196,195,175,"4 BS-AN","Right","right","BS",1,1.53696012497,0.536278009415,"Azul",1,87,1,87,0,41,0,41,NA,"Both","Both"
"197",197,197,197,197,197,196,68,"3 BS-BN","Right","right","BS",1,1.53666186333,0.536056995392,"Verde",1,88,1,88,0,41,0,41,NA,"Both","Both"
"198",198,198,198,198,198,197,97,"2 AS-BN","Left","left","AS",1,1.73693180084,0.736659049988,"Verde",1,89,1,89,0,41,0,41,NA,"Both","Both"
"199",199,199,199,199,199,198,279,"6 AN-BN","None","right","BN",1,1.43825697899,0.437582969666,"Verde",NA,89,NA,89,NA,41,NA,41,NA,"Both","Both"
"200",200,200,200,200,200,199,17,"1 AS-AN","Left","left","AS",1,1.13576793671,0.135626077652,"Azul",1,90,1,90,0,41,0,41,NA,"Both","Both"
"201",201,201,201,201,201,200,143,"2 AS-BN","Right","right","AS",1,1.13460206985,0.133988142014,"Azul",1,91,1,91,0,41,0,41,NA,"Both","Both"
"202",202,202,202,202,202,201,158,"4 BS-AN","Left","left","BS",1,2.13840603828,1.13800191879,"Verde",1,92,1,92,0,41,0,41,NA,"Both","Both"
"203",203,203,203,203,203,202,76,"3 BS-BN","Right","right","BS",1,1.63672614098,0.636146068573,"Azul",1,93,1,93,0,41,0,41,NA,"Both","Both"
"204",204,204,204,204,204,203,134,"2 AS-BN","Left","left","AS",1,1.13505506516,0.134081840515,"Naranja",1,94,1,94,0,41,0,41,NA,"Both","Both"
"205",205,205,205,205,205,204,29,"1 AS-AN","Left","left","AS",1,1.23477983475,0.234157800674,"Naranja",1,95,1,95,0,41,0,41,NA,"Both","Both"
"206",206,206,206,206,206,205,18,"1 AS-AN","Right","left","AN",0,1.14038181305,0.139849185944,"Purpura",0,95,0,95,1,42,1,42,NA,"Both","Both"
"207",207,207,207,207,207,206,74,"3 BS-BN","Right","left","BN",0,1.13458204269,0.133427858353,"Naranja",0,95,0,95,1,43,1,43,NA,"Both","Both"
"208",208,208,208,208,208,207,157,"4 BS-AN","Left","left","BS",1,1.1346540451,0.134474992752,"Purpura",1,96,1,96,0,43,0,43,NA,"Both","Both"
"209",209,209,209,209,209,208,128,"2 AS-BN","Right","right","AS",1,1.13523387909,0.135097026825,"Naranja",1,97,1,97,0,43,0,43,NA,"Both","Both"
"210",210,210,210,210,210,209,151,"4 BS-AN","Right","right","BS",1,1.23473000526,0.234274864197,"Purpura",1,98,1,98,0,43,0,43,NA,"Both","Both"
"211",211,211,211,211,211,210,246,"6 AN-BN","None","right","AN",0,3.64765000343,2.64739489555,"Verde",NA,98,NA,98,NA,43,NA,43,NA,"Both","Both"
"212",212,212,212,212,212,211,12,"1 AS-AN","Right","right","AS",1,1.33501815796,0.334799051285,"Verde",1,99,1,99,0,43,0,43,NA,"Both","Both"
"213",213,213,213,213,213,212,222,"5 AS-BS","Both","right","AS",1,1.13461303711,0.134076118469,"Azul",NA,99,NA,99,NA,43,NA,43,NA,"Both","Both"
"214",214,214,214,214,214,213,59,"3 BS-BN","Left","right","BN",0,1.83836603165,0.837783098221,"Naranja",0,99,0,99,1,44,1,44,NA,"Both","Both"
"215",215,215,215,215,215,214,85,"3 BS-BN","Left","left","BS",1,2.1377530098,1.13746500015,"Naranja",1,100,1,100,0,44,0,44,NA,"Both","Both"
"216",216,216,216,216,216,215,82,"3 BS-BN","Right","left","BN",0,1.33512616158,0.33482003212,"Naranja",0,100,0,100,1,45,1,45,NA,"Both","Both"
"217",217,217,217,217,217,216,177,"4 BS-AN","Left","left","BS",1,1.5367538929,0.53644990921,"Verde",1,101,1,101,0,45,0,45,NA,"Both","Both"
"218",218,218,218,218,218,217,272,"6 AN-BN","None","right","AN",0,1.63604617119,0.634986162186,"Verde",NA,101,NA,101,NA,45,NA,45,NA,"Both","Both"
"219",219,219,219,219,219,218,216,"5 AS-BS","Both","left","BS",0,2.23873806,1.23789000511,"Azul",NA,101,NA,101,NA,45,NA,45,NA,"Both","Both"
"220",220,220,220,220,220,219,261,"6 AN-BN","None","right","BN",1,1.5359210968,0.534713029861,"Verde",NA,101,NA,101,NA,45,NA,45,NA,"Both","Both"
"221",221,221,221,221,221,220,69,"3 BS-BN","Left","left","BS",1,1.13490605354,0.13426399231,"Purpura",1,102,1,102,0,45,0,45,NA,"Both","Both"
"222",222,222,222,222,222,221,239,"5 AS-BS","Both","left","AS",1,1.6362221241,0.635163068771,"Verde",NA,102,NA,102,NA,45,NA,45,NA,"Both","Both"
"223",223,223,223,223,223,222,164,"4 BS-AN","Right","right","BS",1,1.13511109352,0.13401389122,"Purpura",1,103,1,103,0,45,0,45,NA,"Both","Both"
"224",224,224,224,224,224,223,260,"6 AN-BN","None","left","BN",1,2.03753995895,1.03702187538,"Azul",NA,103,NA,103,NA,45,NA,45,NA,"Both","Both"
"225",225,225,225,225,225,224,13,"1 AS-AN","Left","left","AS",1,1.13451099396,0.134204864502,"Purpura",1,104,1,104,0,45,0,45,NA,"Both","Both"
"226",226,226,226,226,226,225,118,"2 AS-BN","Left","left","AS",1,1.13446712494,0.134006023407,"Naranja",1,105,1,105,0,45,0,45,NA,"Both","Both"
"227",227,227,227,227,227,226,258,"6 AN-BN","None","left","BN",1,1.53548908234,0.535275936127,"Naranja",NA,105,NA,105,NA,45,NA,45,NA,"Both","Both"
"228",228,228,228,228,228,227,111,"2 AS-BN","Right","right","AS",1,1.13474488258,0.134386062622,"Azul",1,106,1,106,0,45,0,45,NA,"Both","Both"
"229",229,229,229,229,229,228,9,"1 AS-AN","Left","left","AS",1,1.63848209381,0.638359069824,"Azul",1,107,1,107,0,45,0,45,NA,"Both","Both"
"230",230,230,230,230,230,229,220,"5 AS-BS","Both","right","AS",1,1.13459181786,0.134469032288,"Verde",NA,107,NA,107,NA,45,NA,45,NA,"Both","Both"
"231",231,231,231,231,231,230,159,"4 BS-AN","Right","right","BS",1,1.53680205345,0.536607980728,"Azul",1,108,1,108,0,45,0,45,NA,"Both","Both"
"232",232,232,232,232,232,231,123,"2 AS-BN","Right","right","AS",1,1.13499712944,0.134548902512,"Verde",1,109,1,109,0,45,0,45,NA,"Both","Both"
"233",233,233,233,233,233,232,179,"4 BS-AN","Right","right","BS",1,1.33533811569,0.334825992584,"Naranja",1,110,1,110,0,45,0,45,NA,"Both","Both"
"234",234,234,234,234,234,233,203,"5 AS-BS","Both","right","BS",0,1.23480916023,0.234485149384,"Naranja",NA,110,NA,110,NA,45,NA,45,NA,"Both","Both"
"235",235,235,235,235,235,234,49,"3 BS-BN","Left","left","BS",1,1.23516178131,0.234555959702,"Azul",1,111,1,111,0,45,0,45,NA,"Both","Both"
"236",236,236,236,236,236,235,219,"5 AS-BS","Both","left","AS",1,1.3352971077,0.335042953491,"Azul",NA,111,NA,111,NA,45,NA,45,NA,"Both","Both"
"237",237,237,237,237,237,236,228,"5 AS-BS","Both","right","AS",1,1.1350479126,0.134831905365,"Purpura",NA,111,NA,111,NA,45,NA,45,NA,"Both","Both"
"238",238,238,238,238,238,237,94,"3 BS-BN","Right","left","BN",0,1.2344520092,0.234297037125,"Verde",0,111,0,111,1,46,1,46,NA,"Both","Both"
"239",239,239,239,239,239,238,140,"2 AS-BN","Right","right","AS",1,1.13780713081,0.137639045715,"Azul",1,112,1,112,0,46,0,46,NA,"Both","Both"
"240",240,240,240,240,240,239,276,"6 AN-BN","None","left","BN",1,1.33543109894,0.334843158722,"Naranja",NA,112,NA,112,NA,46,NA,46,NA,"Both","Both"
"241",241,241,241,241,241,240,52,"3 BS-BN","Right","left","BN",0,1.13474488258,0.134150981903,"Verde",0,112,0,112,1,47,1,47,NA,"el","el"
"242",242,242,242,242,242,241,86,"3 BS-BN","Right","left","BN",0,1.33569216728,0.334514856339,"Verde",0,112,0,112,1,48,1,48,NA,"el","el"
"243",243,243,243,243,243,242,174,"4 BS-AN","Left","left","BS",1,1.13447189331,0.134208202362,"Verde",1,113,1,113,0,48,0,48,NA,"el","el"
"244",244,244,244,244,244,243,277,"6 AN-BN","None","right","BN",1,2.24093604088,1.24018311501,"Purpura",NA,113,NA,113,NA,48,NA,48,NA,"el","el"
"245",245,245,245,245,245,244,155,"4 BS-AN","Right","right","BS",1,1.33735895157,0.336948156357,"Verde",1,114,1,114,0,48,0,48,NA,"el","el"
"246",246,246,246,246,246,245,132,"2 AS-BN","Right","right","AS",1,1.13467001915,0.13399720192,"Purpura",1,115,1,115,0,48,0,48,NA,"el","el"
"247",247,247,247,247,247,246,192,"4 BS-AN","Right","right","BS",1,1.23504400253,0.234537124634,"Naranja",1,116,1,116,0,48,0,48,NA,"el","el"
"248",248,248,248,248,248,247,34,"1 AS-AN","Right","left","AN",0,1.13437700272,0.133828878403,"Naranja",0,116,0,116,1,49,1,49,NA,"el","el"
"249",249,249,249,249,249,248,21,"1 AS-AN","Left","left","AS",1,1.1348760128,0.134318113327,"Purpura",1,117,1,117,0,49,0,49,NA,"el","el"
"250",250,250,250,250,250,249,126,"2 AS-BN","Left","left","AS",1,1.13454699516,0.133953809738,"Verde",1,118,1,118,0,49,0,49,NA,"el","el"
"251",251,251,251,251,251,250,130,"2 AS-BN","Left","left","AS",1,1.13883519173,0.13772892952,"Azul",1,119,1,119,0,49,0,49,NA,"el","el"
"252",252,252,252,252,252,251,163,"4 BS-AN","Right","right","BS",1,1.1403901577,0.139897108078,"Naranja",1,120,1,120,0,49,0,49,NA,"el","el"
"253",253,253,253,253,253,252,232,"5 AS-BS","Both","right","AS",1,1.13166594505,0.13058590889,"Naranja",NA,120,NA,120,NA,49,NA,49,NA,"el","el"
"254",254,254,254,254,254,253,221,"5 AS-BS","Both","right","BS",0,1.64332604408,0.642730951309,"Purpura",NA,120,NA,120,NA,49,NA,49,NA,"el","el"
"255",255,255,255,255,255,254,121,"2 AS-BN","Left","left","AS",1,1.13320088387,0.132890939713,"Naranja",1,121,1,121,0,49,0,49,NA,"el","el"
"256",256,256,256,256,256,255,101,"2 AS-BN","Left","left","AS",1,1.1365480423,0.135455846786,"Azul",1,122,1,122,0,49,0,49,NA,"el","el"
"257",257,257,257,257,257,256,127,"2 AS-BN","Right","right","AS",1,1.13450503349,0.134387969971,"Azul",1,123,1,123,0,49,0,49,NA,"el","el"
"258",258,258,258,258,258,257,169,"4 BS-AN","Left","left","BS",1,1.64084410667,0.640084981918,"Naranja",1,124,1,124,0,49,0,49,NA,"el","el"
"259",259,259,259,259,259,258,80,"3 BS-BN","Right","right","BS",1,1.1401309967,0.138937950134,"Purpura",1,125,1,125,0,49,0,49,NA,"el","el"
"260",260,260,260,260,260,259,285,"6 AN-BN","None","left","AN",0,1.34011816978,0.339042901993,"Azul",NA,125,NA,125,NA,49,NA,49,NA,"el","el"
"261",261,261,261,261,261,260,60,"3 BS-BN","Right","right","BS",1,1.13981795311,0.139581203461,"Verde",1,126,1,126,0,49,0,49,NA,"el","el"
"262",262,262,262,262,262,261,227,"5 AS-BS","Both","left","AS",1,1.13456511497,0.13424706459,"Azul",NA,126,NA,126,NA,49,NA,49,NA,"el","el"
"263",263,263,263,263,263,262,88,"3 BS-BN","Right","right","BS",1,1.13455700874,0.134051084518,"Purpura",1,127,1,127,0,49,0,49,NA,"el","el"
"264",264,264,264,264,264,263,215,"5 AS-BS","Both","left","AS",1,1.13485598564,0.134391069412,"Purpura",NA,127,NA,127,NA,49,NA,49,NA,"el","el"
"265",265,265,265,265,265,264,184,"4 BS-AN","Right","right","BS",1,1.23479294777,0.234002113342,"Verde",1,128,1,128,0,49,0,49,NA,"el","el"
"266",266,266,266,266,266,265,150,"4 BS-AN","Left","left","BS",1,1.13487887383,0.134476184845,"Naranja",1,129,1,129,0,49,0,49,NA,"el","el"
"267",267,267,267,267,267,266,193,"5 AS-BS","Both","left","AS",1,1.43578004837,0.43553686142,"Azul",NA,129,NA,129,NA,49,NA,49,NA,"el","el"
"268",268,268,268,268,268,267,182,"4 BS-AN","Left","left","BS",1,1.13485503197,0.134225845337,"Naranja",1,130,1,130,0,49,0,49,NA,"el","el"
"269",269,269,269,269,269,268,188,"4 BS-AN","Right","right","BS",1,1.13447880745,0.134119987488,"Azul",1,131,1,131,0,49,0,49,NA,"el","el"
"270",270,270,270,270,270,269,254,"6 AN-BN","None","left","BN",1,1.13491606712,0.134803056717,"Azul",NA,131,NA,131,NA,49,NA,49,NA,"el","el"
"271",271,271,271,271,271,270,61,"3 BS-BN","Left","left","BS",1,1.23474192619,0.234104156494,"Purpura",1,132,1,132,0,49,0,49,NA,"el","el"
"272",272,272,272,272,272,271,146,"4 BS-AN","Left","left","BS",1,1.13493299484,0.134570121765,"Azul",1,133,1,133,0,49,0,49,NA,"el","el"
"273",273,273,273,273,273,272,2,"1 AS-AN","Right","left","AN",0,1.43559098244,0.435029983521,"Purpura",0,133,0,133,1,50,1,50,NA,"el","el"
"274",274,274,274,274,274,273,259,"6 AN-BN","None","right","BN",1,1.13488888741,0.134212970734,"Verde",NA,133,NA,133,NA,50,NA,50,NA,"el","el"
"275",275,275,275,275,275,274,63,"3 BS-BN","Left","right","BN",0,1.33522510529,0.334756851196,"Verde",0,133,0,133,1,51,1,51,NA,"el","el"
"276",276,276,276,276,276,275,287,"6 AN-BN","None","right","BN",1,2.43834209442,1.43818807602,"Naranja",NA,133,NA,133,NA,51,NA,51,NA,"el","el"
"277",277,277,277,277,277,276,154,"4 BS-AN","Left","left","BS",1,1.23491191864,0.234513998032,"Purpura",1,134,1,134,0,51,0,51,NA,"el","el"
"278",278,278,278,278,278,277,268,"6 AN-BN","None","right","AN",0,1.33580994606,0.33523106575,"Purpura",NA,134,NA,134,NA,51,NA,51,NA,"el","el"
"279",279,279,279,279,279,278,44,"1 AS-AN","Right","right","AS",1,1.13455581665,0.133998155594,"Azul",1,135,1,135,0,51,0,51,NA,"el","el"
"280",280,280,280,280,280,279,243,"6 AN-BN","None","right","BN",1,2.43860292435,1.43820786476,"Naranja",NA,135,NA,135,NA,51,NA,51,NA,"el","el"
"281",281,281,281,281,281,280,54,"3 BS-BN","Right","left","BN",0,1.2349319458,0.234231948853,"Azul",0,135,0,135,1,52,1,52,NA,"el","el"
"282",282,282,282,282,282,281,170,"4 BS-AN","Left","left","BS",1,1.3355910778,0.334425926208,"Purpura",1,136,1,136,0,52,0,52,NA,"el","el"
"283",283,283,283,283,283,282,202,"5 AS-BS","Both","right","AS",1,1.13484597206,0.13436794281,"Azul",NA,136,NA,136,NA,52,NA,52,NA,"el","el"
"284",284,284,284,284,284,283,48,"1 AS-AN","Right","right","AS",1,1.23474287987,0.233551025391,"Purpura",1,137,1,137,0,52,0,52,NA,"el","el"
"285",285,285,285,285,285,284,38,"1 AS-AN","Right","right","AS",1,1.13430905342,0.133541107178,"Verde",1,138,1,138,0,52,0,52,NA,"el","el"
"286",286,286,286,286,286,285,208,"5 AS-BS","Both","left","BS",0,1.83678388596,0.836337089539,"Verde",NA,138,NA,138,NA,52,NA,52,NA,"el","el"
"287",287,287,287,287,287,286,181,"4 BS-AN","Left","left","BS",1,1.3353908062,0.334945201874,"Azul",1,139,1,139,0,52,0,52,NA,"el","el"
"288",288,288,288,288,288,287,117,"2 AS-BN","Left","left","AS",1,1.23518610001,0.234408140182,"Azul",1,140,1,140,0,52,0,52,NA,"el","el"
