"","X.5","X.4","X.3","X.2","X.1","Ensayo","Estimulo","Comparacion","SignallPosition","Respuesta","Eleccion","OpcionPredicha","RTime1","RTime2","Color","Hits","ContadorH","Rechazos","ContadorR","Falsas.alarmas","ContadorF","Omisiones","ContadorM","X","SignalPosition","SignalPos"
"57",57,57,57,57,57,56,15,"1 AS-AN","Left","right","AN",0,1.5336689949,0.532618999481,"Verde",0,27,0,27,1,13,1,13,NA,"Left","Left"
"58",58,58,58,58,58,57,253,"6 AN-BN","None","right","BN",1,2.43778300285,1.43659210205,"Purpura",NA,27,NA,27,NA,13,NA,13,NA,"Left","Left"
"59",59,59,59,59,59,58,106,"2 AS-BN","Left","left","AS",1,1.63568401337,0.635129928589,"Purpura",1,28,1,28,0,13,0,13,NA,"Right","Right"
"60",60,60,60,60,60,59,286,"6 AN-BN","None","left","BN",1,2.23495793343,1.23384404182,"Verde",NA,28,NA,28,NA,13,NA,13,NA,"Right","Right"
"61",61,61,61,61,61,60,58,"3 BS-BN","Right","left","BN",0,1.53602194786,0.535272121429,"Purpura",0,28,0,28,1,14,1,14,NA,"Left","Left"
"62",62,62,62,62,62,61,248,"6 AN-BN","None","right","AN",0,2.43787312508,1.43757820129,"Purpura",NA,28,NA,28,NA,14,NA,14,NA,"Left","Left"
"63",63,63,63,63,63,62,205,"5 AS-BS","Both","right","BS",0,2.03665113449,1.0361790657,"Verde",NA,28,NA,28,NA,14,NA,14,NA,"Right","Right"
"64",64,64,64,64,64,63,165,"4 BS-AN","Left","left","BS",1,1.83365607262,0.832555055618,"Azul",1,29,1,29,0,14,0,14,NA,"Right","Right"
"65",65,65,65,65,65,64,212,"5 AS-BS","Both","right","AS",1,1.73616099358,0.735657930374,"Naranja",NA,29,NA,29,NA,14,NA,14,NA,"Left","Left"
"66",66,66,66,66,66,65,257,"6 AN-BN","None","right","BN",1,1.43515300751,0.434964895248,"Purpura",NA,29,NA,29,NA,14,NA,14,NA,"Left","Left"
"67",67,67,67,67,67,66,230,"5 AS-BS","Both","right","AS",1,1.13444399834,0.13398194313,"Azul",NA,29,NA,29,NA,14,NA,14,NA,"Right","Right"
"68",68,68,68,68,68,67,67,"3 BS-BN","Left","right","BN",0,1.33539891243,0.334959030151,"Naranja",0,29,0,29,1,15,1,15,NA,"Right","Right"
"69",69,69,69,69,69,68,66,"3 BS-BN","Right","left","BN",0,1.73622488976,0.735709190369,"Purpura",0,29,0,29,1,16,1,16,NA,"Left","Left"
"70",70,70,70,70,70,69,37,"1 AS-AN","Left","left","AS",1,2.23508405685,1.23396921158,"Naranja",1,30,1,30,0,16,0,16,NA,"Left","Left"
"71",71,71,71,71,71,70,93,"3 BS-BN","Left","left","BS",1,2.83887481689,1.83772921562,"Naranja",1,31,1,31,0,16,0,16,NA,"Right","Right"
"72",72,72,72,72,72,71,168,"4 BS-AN","Right","right","BS",1,1.73592114449,0.735342025757,"Verde",1,32,1,32,0,16,0,16,NA,"Right","Right"
"73",73,73,73,73,73,72,32,"1 AS-AN","Right","right","AS",1,1.43521499634,0.434124946594,"Purpura",1,33,1,33,0,16,0,16,NA,"Left","Left"
"74",74,74,74,74,74,73,256,"6 AN-BN","None","left","BN",1,2.23742294312,1.23691105843,"Naranja",NA,33,NA,33,NA,16,NA,16,NA,"Left","Left"
"75",75,75,75,75,75,74,5,"1 AS-AN","Left","left","AS",1,1.23475289345,0.234268903732,"Purpura",1,34,1,34,0,16,0,16,NA,"Right","Right"
"76",76,76,76,76,76,75,135,"2 AS-BN","Right","right","AS",1,1.1348118782,0.134311914444,"Purpura",1,35,1,35,0,16,0,16,NA,"Right","Right"
"77",77,77,77,77,77,76,271,"6 AN-BN","None","left","AN",0,1.13411903381,0.133061885834,"Azul",NA,35,NA,35,NA,16,NA,16,NA,"Left","Left"
"78",78,78,78,78,78,77,187,"4 BS-AN","Right","right","BS",1,1.53543710709,0.535284042358,"Verde",1,36,1,36,0,16,0,16,NA,"Left","Left"
"79",79,79,79,79,79,78,211,"5 AS-BS","Both","left","AS",1,1.23480606079,0.234438896179,"Verde",NA,36,NA,36,NA,16,NA,16,NA,"Right","Right"
"80",80,80,80,80,80,79,278,"6 AN-BN","None","right","AN",0,3.74095511436,2.74078297615,"Naranja",NA,36,NA,36,NA,16,NA,16,NA,"Right","Right"
"81",81,81,81,81,81,80,8,"1 AS-AN","Right","right","AS",1,1.53350687027,0.532336950302,"Naranja",1,37,1,37,0,16,0,16,NA,"Left","Left"
"82",82,82,82,82,82,81,41,"1 AS-AN","Left","left","AS",1,1.4325299263,0.431391000748,"Verde",1,38,1,38,0,16,0,16,NA,"Left","Left"
"83",83,83,83,83,83,82,108,"2 AS-BN","Right","right","AS",1,1.13447189331,0.13427400589,"Azul",1,39,1,39,0,16,0,16,NA,"Right","Right"
"84",84,84,84,84,84,83,138,"2 AS-BN","Left","left","AS",1,1.63541197777,0.63515996933,"Purpura",1,40,1,40,0,16,0,16,NA,"Right","Right"
"85",85,85,85,85,85,84,27,"1 AS-AN","Left","right","AN",0,1.43534994125,0.435142993927,"Purpura",0,40,0,40,1,17,1,17,NA,"Left","Left"
"86",86,86,86,86,86,85,92,"3 BS-BN","Right","right","BS",1,2.23736190796,1.23623991013,"Azul",1,41,1,41,0,17,0,17,NA,"Left","Left"
"87",87,87,87,87,87,86,267,"6 AN-BN","None","left","AN",0,2.03676795959,1.03627300262,"Naranja",NA,41,NA,41,NA,17,NA,17,NA,"Right","Right"
