Ensayo,Estimulo,Respuesta,Correcto,Aciertos,Errores,Hits,ContadorH,Rechazos,ContadorR,Falsas.alarmas,ContadorF,Omisiones,ContadorM,Confidence,RTime1,RTime1b,RTime2,Color,X,facilidad,senal,tipo,choice,outcome,Exito,HR6,FR6,HR5,FR5,HR4,FR4,HR3,FR3,HR2,FR2,HR1,FR1
0,427,s,True,1,0,True,1,False,0,False,0,False,0,5,19.78339291,18.28231597,10.12385988,Azul,NA,muchos,senal,3 BS,1,4,1,0,0,1,0,1,0,1,0,1,0,1,0
1,496,n,True,2,0,False,1,True,1,False,0,False,0,1,4.253315926,2.752164841,3.409217119,Verde,NA,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
4,463,s,True,4,1,True,2,False,2,False,1,False,0,5,4.052591085,2.551486015,2.50624299,Naranja,NA,muchos,senal,3 BS,1,4,1,0,0,1,0,1,0,1,0,1,0,1,0
5,178,s,False,4,2,False,2,False,2,True,2,False,0,5,3.445158958,1.944479942,1.20349288,Verde,NA,pocos,ruido,1 AN,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1
6,167,n,True,5,2,False,2,True,3,False,2,False,0,3,4.558739901,3.057584047,2.105238199,Azul,NA,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,1,0,1,0,1
8,271,n,True,6,3,False,2,True,4,False,3,False,0,1,3.24395299,1.742821932,2.204961061,Verde,NA,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
9,347,n,False,6,4,False,2,False,4,False,3,True,1,2,5.656487942,4.155385971,2.907315969,Verde,NA,muchos,senal,3 BS,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0
10,23,s,True,7,4,True,3,False,4,False,3,False,1,5,4.946720123,3.446444035,0.902133942,Azul,NA,pocos,senal,4 AS,1,4,1,0,0,1,0,1,0,1,0,1,0,1,0
11,599,n,True,8,4,False,3,True,5,False,3,False,1,1,3.65692997,2.155869961,1.303322792,Purpura,NA,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
12,128,s,True,9,4,True,4,False,5,False,3,False,1,6,3.055382013,1.554275036,1.103003979,Purpura,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
13,174,n,True,10,4,False,4,True,6,False,3,False,1,2,5.047502041,3.546422958,1.102514982,Naranja,NA,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,0,0,1,0,1
14,206,s,False,10,5,False,4,False,6,True,4,False,1,6,3.044113159,1.542958975,1.604036808,Naranja,NA,pocos,ruido,1 AN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
15,512,n,True,11,5,False,4,True,7,False,4,False,1,2,3.853897095,2.352679968,0.902081966,Verde,NA,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,1,0,1
17,350,s,True,13,5,True,5,False,8,False,4,False,1,6,3.454345942,1.953342915,1.103018045,Naranja,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
18,583,n,True,14,5,False,5,True,9,False,4,False,1,1,2.750520945,1.249430895,1.002445936,Purpura,NA,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
19,405,s,True,15,5,True,6,False,9,False,4,False,1,5,4.153949976,2.652816057,0.902715206,Verde,NA,muchos,senal,3 BS,1,4,1,0,0,1,0,1,0,1,0,1,0,1,0
20,81,s,True,16,5,True,7,False,9,False,4,False,1,6,4.153883934,2.652823925,0.801783085,Naranja,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
21,198,s,False,16,6,False,7,False,9,True,5,False,1,6,3.756853819,2.255674124,1.303290129,Purpura,NA,pocos,ruido,1 AN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
22,90,s,True,17,6,True,8,False,9,False,5,False,1,6,3.255609989,1.754853964,0.701984167,Azul,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
23,87,s,True,18,6,True,9,False,9,False,5,False,1,5,4.458592892,2.957540989,0.60157609,Azul,NA,pocos,senal,4 AS,1,4,1,0,0,1,0,1,0,1,0,1,0,1,0
24,161,s,False,18,7,False,9,False,9,True,6,False,1,6,4.557801008,3.056668043,0.802066088,Naranja,NA,pocos,ruido,1 AN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
25,374,s,True,19,7,True,10,False,9,False,6,False,1,6,3.050584078,1.549381018,0.6014359,Purpura,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
26,452,s,True,20,7,True,11,False,9,False,6,False,1,6,3.354650021,1.853865862,1.103351116,Purpura,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
27,556,s,False,20,8,False,11,False,9,True,7,False,1,6,2.548965931,1.047786951,1.403522968,Naranja,NA,muchos,ruido,2 BN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
29,9,s,True,22,8,True,12,False,10,False,7,False,1,5,3.050708056,1.549515963,0.702442884,Purpura,NA,pocos,senal,4 AS,1,4,1,0,0,1,0,1,0,1,0,1,0,1,0
30,529,s,False,22,9,False,12,False,10,True,8,False,1,5,3.350576878,1.849473953,0.70226717,Azul,NA,muchos,ruido,2 BN,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1
31,17,s,True,23,9,True,13,False,10,False,8,False,1,6,2.949759007,1.448643923,0.60217905,Naranja,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
33,425,s,True,25,9,True,14,False,11,False,8,False,1,4,3.852383137,2.351176023,2.706899166,Verde,NA,muchos,senal,3 BS,1,4,1,0,0,0,0,1,0,1,0,1,0,1,0
34,272,n,True,26,9,False,14,True,12,False,8,False,1,3,5.94967103,4.448592901,0.701687098,Purpura,NA,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,1,0,1,0,1
35,478,s,True,27,9,True,15,False,12,False,8,False,1,6,2.750273943,1.249144077,0.60164094,Azul,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
36,475,s,True,28,9,True,16,False,12,False,8,False,1,6,2.752012014,1.251568079,0.401113033,Azul,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
37,110,s,True,29,9,True,17,False,12,False,8,False,1,6,2.955440998,1.454303026,0.601854086,Naranja,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
38,190,n,True,30,9,False,17,True,13,False,8,False,1,2,3.85682106,2.356246948,0.50139904,Naranja,NA,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,0,0,1,0,1
39,222,n,True,31,9,False,17,True,14,False,8,False,1,2,3.556211948,2.055088997,0.902440071,Naranja,NA,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,0,0,1,0,1
40,600,n,True,32,9,False,17,True,15,False,8,False,1,1,3.85215497,2.350989103,1.002219915,Azul,NA,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
41,557,n,True,33,9,False,17,True,16,False,8,False,1,1,3.15102005,1.649962902,0.501329899,Purpura,NA,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
42,150,s,True,34,9,True,18,False,16,False,8,False,1,6,3.053802967,1.552598953,0.501338005,Purpura,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
