Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
0,382,s,False,0,1,False,0,False,0,True,1,False,0,5,
1,418,s,True,1,1,True,1,False,0,False,1,False,0,6,
2,203,s,True,2,1,True,2,False,0,False,1,False,0,6,
3,131,n,False,2,2,False,2,False,0,False,1,True,1,1,
4,691,s,False,2,3,False,2,False,0,True,2,False,1,6,
5,506,s,True,3,3,True,3,False,0,False,2,False,1,6,
6,620,s,False,3,4,False,3,False,0,True,3,False,1,6,
7,314,s,False,3,5,False,3,False,0,True,4,False,1,6,
8,276,n,True,4,5,False,3,True,1,False,4,False,1,2,
9,214,n,False,4,6,False,3,False,1,False,4,True,2,2,
10,477,n,False,4,7,False,3,False,1,False,4,True,3,2,
11,389,n,True,5,7,False,3,True,2,False,4,False,3,2,
12,161,n,False,5,8,False,3,False,2,False,4,True,4,2,
13,491,n,False,5,9,False,3,False,2,False,4,True,5,2,
14,121,n,False,5,10,False,3,False,2,False,4,True,6,2,
15,143,n,False,5,11,False,3,False,2,False,4,True,7,2,
16,563,n,True,6,11,False,3,True,3,False,4,False,7,2,
